,tableId,rowIndex,issue_pri,issue_sec
63,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,64,Incomplete PCEM assessment,‐‐‐
64,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,65,Compaction,‐‐‐
65,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,66,Weed concern_1,‐‐‐
66,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,67,Weed concern_1,‐‐‐
67,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,68,Admixing_1,‐‐‐
68,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,69,Vegetation establishment_1,‐‐‐
69,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,70,Vegetation establishment_1,‐‐‐
70,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,71,Admixing_1,‐‐‐
71,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,72,Vegetation establishment_1,‐‐‐
72,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,73,Weed concern_1,‐‐‐
73,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,74,Contouring_1,‐‐‐
74,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,75,"Erosion (wind, water)_1",‐‐‐
75,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,76,Weed concern_1,‐‐‐
76,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,77,Vegetation establishment_1,‐‐‐
77,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,78,Weed concern_1,‐‐‐
78,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,79,Weed concern_2,Weed concern_2
79,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,80,Weed concern_1,‐‐‐
80,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,81,Weed concern_1,Weed concern_1
81,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,82,Weed concern_1,‐‐‐
82,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,83,‐‐‐,Subsidence_1
83,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,84,Vegetation establishment_2,Vegetation establishment_2
84,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,85,‐‐‐,Subsidence_1
85,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,86,Weed concern_1,Weed concern_1
86,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,87,Vegetation establishment_1,Vegetation establishment_1
87,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,88,Weed concern_1,Weed concern_1
88,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,89,Vegetation establishment_1,‐‐‐
89,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,90,Weed concern_1,‐‐‐
90,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,91,Vegetation establishment_1,‐‐‐
91,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,92,Weed concern_1,Weed concern_1
92,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,93,Weed concern_1,‐‐‐
93,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,94,‐‐‐,Weed concern_1
94,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,95,‐‐‐,Weed concern_1
95,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,96,Weed concern_1,Weed concern_1
96,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,97,Weed concern_1,Weed concern_1
97,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,98,‐‐‐,Vegetation establishment_1
98,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,99,Weed concern_1,Weed concern_1
99,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,100,Weed concern_2,Weed concern_2
100,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,101,Weed concern_3,‐‐‐
101,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,102,Weed concern_1,Weed concern_1
102,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,103,Seed mix/Land use,‐‐‐
103,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,104,‐‐‐,Weed concern_1
104,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,105,Vegetation establishment_1,‐‐‐
105,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,106,Vegetation establishment_2,‐‐‐
106,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,107,‐‐‐,Weed concern_1
107,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,108,Weed concern_2,‐‐‐
108,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,109,Vegetation establishment_1,‐‐‐
109,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,110,Vegetation establishment_2,‐‐‐
110,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,111,Vegetation establishment_1,‐‐‐
111,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,112,Weed concern_1,Weed concern_1
112,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,113,Vegetation establishment_2,‐‐‐
113,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,114,Vegetation establishment_1,‐‐‐
114,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,115,Weed concern_1,Weed concern_1
115,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,116,Vegetation establishment_1,‐‐‐
116,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,117,Weed concern_2,Weed concern_2
117,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,118,Weed concern_1,‐‐‐
118,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,119,Weed concern_1,‐‐‐
119,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,120,Weed concern_1,‐‐‐
120,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,121,Weed concern_1,‐‐‐
121,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,122,Weed concern_2,‐‐‐
122,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,123,Seed mix/Land use,‐‐‐
123,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,124,Weed concern_2,‐‐‐
124,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,125,Weed concern_1,‐‐‐
125,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,126,Weed concern_2,‐‐‐
126,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,127,Weed concern_1,Weed concern_1
127,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,128,Weed concern_1,Weed concern_1
128,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,129,Site visit,‐‐‐
129,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,130,Weed concern_1,‐‐‐
130,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,131,"Erosion (wind, water)_1",‐‐‐
131,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,132,Weed concern_1,Weed concern_1
132,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,133,Weed concern_2,‐‐‐
133,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,134,Weed concern_1,Weed concern_1
134,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,135,Vegetation establishment_1,‐‐‐
135,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,136,"Erosion (wind, water)_2",‐‐‐
136,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,137,Weed concern_1,‐‐‐
137,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,138,Vegetation establishment_1,‐‐‐
138,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,139,"Erosion (wind, water)_1",‐‐‐
139,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,140,Vegetation establishment_1,‐‐‐
140,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,141,Incomplete PCEM assessment,‐‐‐
141,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,142,"Erosion (wind, water)_1",‐‐‐
142,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,143,Vegetation establishment_1,‐‐‐
143,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,144,Incomplete PCEM assessment,‐‐‐
144,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,145,Admixing_1,‐‐‐
145,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,146,Weed concern_1,‐‐‐
146,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,147,Weed concern_1,Weed concern_1
147,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,148,Weed concern_1,Weed concern_1
148,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,149,Weed concern_1,Weed concern_1
149,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,150,Weed concern_1,‐‐‐
150,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,151,"Erosion (wind, water)_1",‐‐‐
151,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,152,Weed concern_1,Weed concern_1
152,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,153,Weed concern_1,Weed concern_1
153,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,154,Weed concern_1,Weed concern_1
