Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
84,NE 1-3-6,1195.7,4326.02,Vegetation – Establishment,Issue reported by construction contractor.,Poor vegetation establishment observed near dugout on construction right-of-way during ground reconnaissance.,Poor vegetation establishment evident.,Poor vegetation establishment observed on construction right-of-way during ground disturbance.,Reseeded fall 2011.,Unresolved,Reseed and monitor in 2013.,,,
84,NW 6-3-5,1196.1 to 1196.15,4327,Land and Resource  Use - Urban Construction Area Vegetation - Weeds,"High density of leafy spurge, stinkweed and Canada thistle on construction right-of-way.",Moderate density of Canada thistle and absinthe observed on west slope on construction right-of-way during ground reconnaissance.,Moderate densities of Canada thistle observed.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance. Low density of Canada thistle observed in preconstruction weed survey.,Weeds sprayed fall 2011. Weeds mowed and sprayed August 2012.,Resolved,None.,,,
84,NW 6-3-5,1196.3 to 1196.7,4327,Soils - Erosion,--,Rill erosion observed on construction right-of-way during ground reconnaissance.,Golf course has developed and issue appears resolved. The driving range had been contoured and covered with topsoil in preparation for either seeding or sod.,Minor rill erosion observed on construction right-of-way during ground reconnaissance.The issue has been resolved by golf course after the ground reconnaissance was conducted.,Golf course to seed or lay sod.,Resolved,None.,,,
84,SW 6-3-5,1196.7,4327.01,Topography – Slopes Soils - Erosion Vegetation - Establishment Water Quality and Quantity Deadhorse Creek,West approach slope appears unstable on construction right-of-way.,Area of poor vegetation establishment on west bank observed on construction right-of-way during ground reconnaissance.,Vegetation establishing but ongoing.,Bare patch (2 m x 2 m) on west bank observed on construction right-of-way during ground reconnaissance.,"Slopes repaired, protected and reseeded fall 2011. Repaired with topsoil and jute matting, reseeded in October 2012.",Unresolved,Monitor in 2013.,,,
84,NE 31-2-5,1198.0 to 1198.3,4329 4329.01,Land and Resource  Use - Urban Construction Area Vegetation - Weeds,"Moderate to high density of nodding thistle, dandelion, green foxtail, Canada thistle, perennial sow-thistle and foxtail barley on construction right-of-way.","Moderate density of Canada thistle, perennial sow-thistle and narrow-leaved hawk's-beard observed on construction right-of-way during ground reconnaissance.",No weed concerns observed.,Low to moderate densities of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010. Weeds sprayed September 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,,
84,NW 32-2-5,1198.4 to 1198.5,4330,Soils - Drainage,--,Poor drainage observed on construction right-of-way during ground reconnaissance. Landowner concerned with excess seepage on construction right-of-way due to construction resulting in greater than normal soft areas and wetness.,Poor drainage/seepage observed on right-of-way.,Poor drainage observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Drainage/seepage issue to be addressed by third party. Monitor in 2013.,,,
84,NW 32-2-5,1198.4 to 1198.5,4330,Soils - Compaction,--,Moderate compaction observed on construction right-of-way by landowner.,No evidence of compaction.,Moderate compaction observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2013.",,,
84,NW 32-2-5,1198.5,4330,Vegetation - Weeds,"Moderate density of redroot pigweed, false ragweed, dandelion, spear-leaved goosefoot, green foxtail and lamb’s-quarters on construction right-of-way.",Moderate density foxtail barley observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed in fall 2011.,Resolved,None.,,,
84,NW 32-2-5,1198.9,4330,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,,
85,NE 24-2-5,1206.5,4347,Soils – Erosion Water Quality and Quantity Unnamed Drainage,Poor vegetation establishment and minor rill erosion on both banks.,Repairs being conducted at time of survey.,Banks appear restored.,No erosion observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
85,NE 24-2-5,1206.5,4347,Vegetation - Establishment Water Quality and Quantity Unnamed Drainage,Poor vegetation establishment and minor rill erosion on both banks.,Repairs being conducted at time of survey.,Banks appear restored.  Vegetation is filling in on banks and comparable to vegetation conditions off right-of-way.,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,,
86,SE 12-2-4,1217.1 to 1218.0,4380,Soils - Subsidence,Issue reported by construction contractor.,Land access not granted by landowner at time of survey. Landowner did not want disease spread through seed potatoes.,No evidence of subsidence.,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,,
86,SE 12-2-4,1217.55 to 1218.0,4380,Soils - Admixing,Severe admixing on construction right-of-way. Issue reported by construction contractor.,Land access not granted by landowner at time of survey. Landowner did not want disease spread through seed potatoes.,Admixing appears similar as off right-of-way.,Minor admixing not affecting crop growth observed on construction right-of-way during ground reconnaissance.,--,Resolved,Monitor in 2013.,,,
86,NW 5-2-3,1220.1,4386,Vegetation – Establishment Rosenheim Drain,--,No issues observed on construction right-of-way during ground reconnaissance.,"Patchy areas on west and east banks of Rosenheim Drain. Vegetation is well established, patchy growth areas have filled in to satisfaction.",--,Reseeded in summer 2011.,Resolved,None.,,,
86,NE 34-1-3,1224.3 to 1224.4,4397,Soils - Contouring Water Quality and Quantity Buffalo Drain,Unstable soils and slumping at both banks on construction right-of-way.,"Repair work completed in July 2011; however, land access not granted by landowner at the time of ground reconnaissance. Landowner did not want disease spread through seed potatoes.",Banks fully restored. Mats present.,No contouring issues observed on construction right-of-way during ground reconnaissance.,Banks reshaped and reseeded in summer 2011.,Resolved,None.,,,
86,NE 34-1-3,1224.3 to 1224.4,4397,Vegetation – Weeds Buffalo Drain,"Moderate density Canada thistle, lamb’s-quarters, false ragweed, field dock and kochia observed on construction right-of-way during ground reconnaissance.","Repair work completed in July 2011; however, land access not granted by landowner at the time of ground reconnaissance. Landowner did not want disease spread through seed potatoes.",--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,
86,NE 34-1-3,1224.3 to 1224.4,4397,Vegetation – Establishment,--,--,Patchy areas on banks of Buffalo Drain.,Vegetation composition and density equal to off construction right-of-way.,Banks reseeded in summer of 2012.,Resolved,None.,,,
86,NE 34-1-3,1224.3 to 1224.9,4397,Soils - Subsidence,Issue reported by construction contractor.,Land access not granted by landowner at time of survey. Landowner did not want disease spread through seed potatoes.,--,No subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
86,NW 25-1-3,1227.3,4405,Soils - Subsidence,--,Hydrovac hole observed on construction right-of-way during ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
