Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
72,SW 24-8-22,1025.1 to 1025.9,4094,Soils - Drainage,--,Poor drainage observed on construction right-of-way by landowner.,--,Poor drainage observed on construction right-of-way. Cattails have established due to perennial wetness.,Drainage repaired fall 2011. Landowner disced cattails August 2012. Reseeded August 2012.,Unresolved,"Repair drainage, if warranted, and monitor in 2013.",,,
72,SW 24-8-22,1025.1 to 1025.9,4094,Soils - Subsidence,Issue reported by construction contractor.,Unable to fully assess due to portions of the construction right-of-way being flooded at time of survey.,--,Unable to assess due to wet conditions during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,Monitor in 2013.,,,
73,S 1/2 19-8-21,1026.75 to 1027.7,4095.01,Vegetation - Weeds,"Moderate density of Canada thistle, false ragweed, Russian thistle, green smartweed, kochia, redroot pigweed and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,
73,S 1/2 19-8-21,1026.75 to 1027.7,4095.01,Soils - Topsoil Loss,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,"Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,,
73,NE 18-8-21,1027.7 to 1028.4,4096,Soils - Drainage,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,Drainage appears resolved.,Patches of previously standing water observed on construction right-of-way. Land fallow at time of survey.,Drainage repaired in 2010.,Unresolved,"Repair drainage, if warranted, and monitor in 2013.",,,
73,NW 16-8-21,1030.7 to 1031.0,4098,Vegetation - Weeds,"High density of false ragweed, field dock, spear-leaved goosefoot, common peppergrass and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.","High density of foxtail barley, narrow-leaved hawk’s-beard and Canada thistle observed along construction right-of-way during ground reconnaissance.",No weed issues and vegetation well established.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,
73,NE 16-8-21,1031.0 to 1031.7,4098.01 4098.02,Vegetation - Weeds,"High density of lamb’s-quarters, spear-leaved goosefoot, dandelion, perennial sow-thistle, green smartweed and barnyard grass observed on construction right-of-way during ground reconnaissance.","High density of narrow-leaved hawk’s-beard, foxtail barley, field dock and Canada thistle observed on construction right-of-way during ground reconnaissance.",No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,
73,SW 15-8-21,1031.8 to 1032.6,4100,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 requesting paratilling due to compaction. Moderate compaction observed on construction right-of-way during ground reconnaissance.,Compaction similar on and off right-of-way. Similar soil structure/conditions on and off right-of-way.,Minor compaction observed on construction right-of-way during ground reconnaissance slightly affecting crop growth.,Compaction repaired in 2010. Paratilled in 2011.,Unresolved,Monitor in 2013.,,,
73,SE 15-8-21,1032.6 to 1033.4,4101,Soils – Erosion Vegetation – Crop Growth,--,--,Landowner concerns of minor rill erosion and loss of vegetative cover over pipelines. Water runs down the right-of-way instead of ditch.,--,Paratilled in 2011. Topsoil added to improve contour in 2011.,Unresolved,Repair rill erosion and monitor crop growth in 2013.,,,
73,SE 15-8-21,1032.6 to 1033.0,4101,Soils – Compaction,--,--,--,Minor compaction and reduced crop height observed on construction right-of-way during ground reconnaissance.,Paratilled in 2011.,Unresolved,Monitor in 2013.,,,
73,SE 15-8-21,1033.0 to 1033.2,4101,Vegetation – Crop Growth,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Crop growth similar on and off right-of-way.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Reassess soil parameters and monitor crop growth in 2013.,,,
73,SE 15-8-21,1033.0 to 1033.2,4101,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,--,Minor compaction observed on construction right-of-way during ground reconnaissance.,Paratilled in 2011.,Unresolved,Monitor in 2013.,,,
73,SE 15-8-21,1033.0 to 1033.2,4101,Soils - Drainage,--,Poor drainage observed on construction right-of-way by landowner.,--,Poor contouring resulting in drainage issues observed on construction right-of-way during ground reconnaissance.,Topsoil added to improve contour in 2011.,Unresolved,"Recontour, if warranted, and monitor in 2013.",,,
73,NE 7-8-20,1037.7 to 1038.6,4107,Soils - Compaction,--,Moderate compaction observed on construction right-of-way by landowner.,--,"Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,,
73,SE 8-8-20,1039.7 to 1040.3,4110,Vegetation - Weeds,--,"Moderate density of Canada thistle, false ragweed and annual sow-thistle observed on construction right-of-way during ground reconnaissance.",No weed issues observed.,Evidence of weeds observed on construction right-of-way. Hay has recently been cut.,Weeds mowed in summer 2011. Weeds mowed in summer 2012.,Unresolved,Control weeds and monitor in 2013.,,,
73,SE 8-8-20,1040.0 to 1040.2,4110,Soils – Drainage,--,--,"Landowner concerns of drainage issues. Water flow has always headed west. Enbridge Inspector, Enbridge Land agent and EI noticed flooded areas in the south corn field, with reduced corn height and density.",--,--,Unresolved,Recontour and monitor in 2013.,,,
74,SE 5-8-19,1050.2 to 1050.3,4122.02,Vegetation - Weeds,"Moderate density of Canada thistle, common burdock, perennial sow-thistle, black medick and lamb’s-quarters on construction right-of-way.",Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds observed on right-of-way. Canada thistle and absinthe are dead.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in fall 2011 and August 2012.,Unresolved,Monitor in 2013.,,,
74,NW 34-7-19,LC 2.5 to LC.2.7,4125,Vegetation - Weeds,"Moderate density of perennial sow-thistle, field dock, spear-leaved goosefoot, false ragweed, Russian thistle, stinkweed and white cockle observed on construction right-of-way during ground reconnaissance.","Moderate density of Canada thistle, spear-leaved goosefoot, narrow-leaved hawk’s-beard and foxtail barley observed on construction right-of-way during ground reconnaissance.","No weed issues observed, vegetation well established.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,,
74,NW 35-7-19,1054.0,4127,Vegetation - Weeds,"High density of dog mustard, false ragweed, foxtail barley, spear-leaved goosefoot, perennial sow-thistle, field dock, redroot pigweed and wild oats observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,Weeds observed on right-of-way. Canada thistle and perennial sow-thistle are dead.,"Moderate density of Canada thistle, perennial sow-thistle and false ragweed observed on construction right-of-way during ground reconnaissance.",Weeds sprayed June and August 2012.,Unresolved,Monitor in 2013.,,,
74,NW 35-7-19,1054.0,4127,Vegetation – Crop Growth,--,--,Landowner concerns with reduced crop growth from 2012 observations.,--,--,Unresolved,Monitor in 2013.,,,
75,SW 36-7-19,1055.8 to 1056.3,4129,Vegetation - Weeds,"Moderate density of perennial sow-thistle, common burdock, green smartweed, field dock and dandelion on construction right-of-way.","Moderate density of foxtail barley, field dock, Canada thistle and narrow-leaved hawk’s-beard observed on construction right-of-way during ground reconnaissance.",Weed densities similar on and off right-of-way. Almost all thistle plants are dead.,"Moderate densities of perennial sow-thistle, Canada thistle and false ragweed observed on construction right-of-way during ground reconnaissance.",Weeds sprayed August 2012.,Unresolved,Monitor in 2013.,,,
75,SE 31-7-18,1058.60 to 1058.70,4132,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy (93%).,Health: Healthy with Problems (72%).  Bare ground on construction right-of-way. Open water exists where emergent vegetation was prior to construction. Landowner has cultivated construction right-of-way.,"Health: Healthy with Problems (77%). Weeds: Perennial sow-thistle, Canada thistle. Disturbance and weedy species observed along construction right-of-way. Landowner has cultivated wetland margins.",--,Health: Healthy (87%).,--,Resolved,None.,,,
75,"SE 31-7-18, SW 32-7-18",1058.7 to 1058.9,4132  4133,Vegetation - Weeds,--,--,Canada thistle observed on right-of-way.,--,Weeds sprayed June and August 2012.,Unresolved,Monitor in 2013.,,,
75,"SE 31-7-18, SW 32-7-18",1058.7 to 1058.9,4132  4133,Soils – Erosion Vegetation - Establishment,--,--,"Washout stable, no evidence of erosion.",--,Erosion repaired and reseeded fall 2011.,Unresolved,Monitor for vegetation establishment in 2013.,,,
75,NW 26-7-18,1063.7 to 1063.95,4140 4140.01,Vegetation - Weeds  Land and Resource  Use - organic farm,"Moderate density of redroot pigweed, wild buckwheat, perennial sow-thistle, Canada thistle, stinkweed, green smartweed and spear-leaved goosefoot on construction right-of-way.",Moderate density of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,
75,NW 26-7-18,1064.1 to 1064.6,4141 4142,Vegetation - Weeds Land and Resource  Use - organic farm,"High density of wild oats, redroot pigweed, kochia, perennial sow-thistle, Canada thistle, green smartweed and lamb’s-quarters on construction right-of-way.",Moderate density of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,
75,NE 26-7-18,1064.6 to 1064.8,4142,Soils - Subsidence,--,Moderate subsidence observed on the construction right-of-way during ground reconnaissance.,No evidence of subsidence observed.,Minor subsidence (approx. 10 cm deep) observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,,
75,SW 25-7-18,1065.8,4143,Vegetation – Weeds Black Creek,--,"Moderate density of Canada thistle, narrow-leaved hawk's-beard and foxtail barley observed on north bank during ground reconnaissance.",Weeds observed on right-of-way.,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,,
75,SW 25-7-18,1065.85 to 1066.2,4143,Vegetation - Weeds,"Moderate density of false ragweed, spear-leaved goosefoot, foxtail barley and white cockle on construction right-of-way.","Moderate density of foxtail barley, hemp nettle, narrow-leaved hawk’s-beard and Canada thistle observed on construction right-of-way during ground reconnaissance.",No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,
75,SW 25-7-18,1065.6,4143,Soils – Compaction,--,--,--,Moderate compaction causing poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted and monitor in 2013.",,,
76,N 1/2 22-7-17,1072.5 to 1073.4,4150,Vegetation - Weeds,"Moderate density of redroot pigweed, common burdock, lamb’s-quarters, common tansy, leafy spurge, green foxtail and false ragweed on construction right-of-way.",High density of Canada thistle observed on construction right-of-way during ground reconnaissance.,"High densities of Canada thistle, leafy spurge and absinthe.","Low to moderate density of leafy spurge, absinthe and common burdock observed on construction right-of-way during ground reconnaissance. High density of Canada thistle observed. Moderate to high densities of leafy spurge, absinthe and Canada thistle observed in preconstruction weed survey.",--,Resolved,None.,,,
76,SE 22-7-17,1073.5,4153 4154,Topography Soils - Erosion Water Quality and Quantity Fish and Fish Habitat Souris River,Minor slumping on west bank.,Poor vegetation establishment on west bank and approach slope observed on construction right-of-way during ground reconnaissance.,Patchy vegetation on west bank.,Vegetation composition and density equal to off construction right-of-way.,Reseeded summer 2011. Mowed west bank August 2012.,Resolved,None.,,,
76,SE 22-7-17,1073.5,4153 4154,Vegetation - Weeds,--,--,"High densities of Canada thistle, leafy spurge and absinthe.","Moderate densities of Canada thistle, leafy spurge, foxtail barley and absinthe observed on construction right-of-way during ground reconnaissance. Moderate to high densities of leafy spurge, absinthe and Canada thistle observed in preconstruction weed survey.",--,Resolved,None.,,,
76,SE 22-7-17,1073.5 to 1073.9,4153 4154,Vegetation - Weeds,--,Moderate density of common burdock and Canada thistle observed on construction right-of-way during ground reconnaissance.,Several burdock and thistle plants observed. Very few absinthe plants alive. Very good kill on thistle.,Moderate densities of absinthe and Canada thistle observed on construction right-of-way during ground reconnaissance. Moderate to high densities of absinthe and Canada thistle observed in preconstruction weed survey.,"Weeds mowed July and August 2011. Weeds sprayed fall 2011, June and August 2012.",Resolved,None.,,,
76,SW 23-7-17,1074.1,4155,Soils - Erosion Water Quality and  Quantity - Field Drain,Silt fencing damaged on construction right-of-way. No alteration of drainage patterns observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,"No issues at field draw, fully restored and well vegetated.",--,Seeded reclaimed area on coulee edge in fall 2011.,Resolved,None.,,,
76,NW 14-7-17,W 1.0,4155.01,Vegetation - Weeds,"Moderate density of common knotweed, foxtail barley, Russian thistle, perennial sow-thistle, lamb’s-quarters, Kochia and field dock observed on construction right-of-way during ground reconnaissance.","Moderate density of foxtail barley, Canada thistle, perennial sow-thistle and wild oats observed on construction right-of-way during ground reconnaissance.",No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,
76,NW 14-7-17,W 0.9,4155.01,Vegetation - Weeds,--,--,--,Landowner observed higher density of foxtail barley on construction right-of-way compared to off.,--,Unresolved,Control weeds and monitor in 2013.,,,
76,NW 14-7-17,W 0.4 to W 1.0,4155.01,Soils - Drainage,--,--,--,Landowner observed poor drainage along construction right-of-way.,Disced and graded right-of-way September 2012.,Unresolved,Monitor in 2013.,,,
76,NW 16-7-16,W 6.9 to W 7.2,4162,Vegetation - Weeds,"Moderate density of foxtail barley, wild oats, Russian thistle, kochia and lamb's-quarters on construction right-of-way.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,High densities of foxtail barley observed.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,,
76,NW 16-7-16,W 6.9 to W 7.2,4162,Vegetation – Establishment,--,--,Patchy areas evident on right-of-way.,--,Reseeded September 2012.,Unresolved,Monitor in 2013.,,,
76,NW 16-7-16,W 7.17,4162,Vegetation – Weeds,--,--,--,"Moderate density of Canada thistle, field dock, green foxtail and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,,
76,NE 16-7-16,1081.9,4163,Vegetation – Establishment Unnamed drainage,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate densities of foxtail barley observed. Drainage fully restored and stable. Vegetation well established.,Vegetation composition and density equal to off construction right-of-way.,Restored drainage and reseeded summer 2011. Reseeded in 2012.,Resolved,None.,,,
76,SE 14-7-16,1084.8 to 1085.7,4168,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 and requested paratilling. Moderate compaction observed on right-of-way during ground reconnaissance.,Similar soil structure evident on and off right-of-way.,"Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",Paratilling of work land conducted in 2011.,Resolved,None.,,,
77,SE 13-7-16,1086.8 to 1087.05,4169.01 4169.02,Vegetation – Establishment  Oak Creek,--,Poor vegetation establishment on west bank and moderate vegetation establishment on approach slopes observed on construction right-of-way during ground reconnaissance.,Bridge area stable; vegetation establishing on west bank.,Poor vegetation establishment observed on west bank of construction right-of-way during ground reconnaissance where there is no topsoil. Silt fence still in place.,"Banks restored, protected and reseeded in fall 2011. Mowed west side of creek August 2012.",Unresolved,Reseed patchy areas on west bank and remove silt fence. Monitor in 2013.,,,
77,SE 13-7-16,1086.8 to 1087.05,4169.01 4169.02,Vegetation - Weeds Oak Creek,"High weeds density of false ragweed, lamb’s-quarters, Russian thistle, stinkweed, Canada thistle, Canada fleabane and field dock on southeast bank of construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,"Low to moderate densities of Canada thistle, common burdock and leafy spurge observed on west bank along construction right-of-way during ground disturbance.",--,Unresolved,Control weeds and monitor in 2013.,,,
77,NW 9-7-15,1090.7 to 1091.5,4174,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 requesting paratilling due to compaction. No issues observed on construction right-of-way during ground reconnaissance.,Similar soil conditions on and off right-of-way. No compaction evident.,--,Paratilling conducted in 2011.,Resolved,None.,,,
77,NW 10-7-15,1092.4 to 1093.2,4176,Land and Resource Use - organic farm Vegetation - Weeds,"High densities of green foxtail, kochia, prostrate pigweed, redroot pigweed and wild oats on construction right-of-way.",Moderate density of Canada thistle and green foxtail observed on construction right-of-way during ground reconnaissance.,"Landowner has seeded field, no weeds identified May 25, 2012, appears resolved.",Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,
77 to 78,NE 5-7-14,1099.9 to 1100.75,4188,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 and requested paratilling. No issues observed on construction right-of-way during ground reconnaissance.,Similar soil conditions on and off right-of-way. No compaction evident.,Unable to assess due to integrity dig/repair work.,Paratilled work lane in 2011.,Resolved,None.,,,
78,SW 1-7-14,1105.8 to 1106.5,4197,Vegetation - Weeds,"High density of wild oats, green foxtail, green smartweed, lamb’s-quarters, perennial sow-thistle, redroot pigweed, kochia and white cockle observed on construction right-of-way during ground reconnaissance.","Moderate density of field dock, spear-leaved goosefoot, foxtail barley and Canada thistle were observed on the construction right-of-way during ground reconnaissance",Weed densities similar on and off right-of-way – appears resolved.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,
78,NW 36-6-14,1106.87 to 1107.18,4198,Soils – Compaction,--,,Compaction noted by landowner. Soil probing done on and off right-of-way with similar soil conditions evident.,--,Paratilled work lane in 2011.,Resolved,None.,,,
78,NW 36-6-14,1106.87 to 1107.18,4198,Soils – Erosion,--,--,Rill erosion on west side of wetland in 2011. Vegetation establishment is excellent (2012).,--,--,Resolved,None.,,,
78,NW 36-6-14,1106.87 to 1107.18,4198,Vegetation – Establishment,--,--,Patchy growth on west side of wetland in 2011. Vegetation establishment is excellent (2012).,--,--,Resolved,None.,,,
78,NE 36-6-14,1107.4 to 1107.6,4199,Land and Resource Use - organic farm Vegetation - Weeds,"Moderate density of spear-leaved goosefoot, dandelion, Canada thistle, common plantain and foxtail barley on construction right-of-way.","Moderate density of spear-leaved goosefoot, Canada thistle, narrow-leaved hawk's-beard and foxtail barley observed on construction right-of-way during ground reconnaissance.",No weeds observed.,"Low to moderate densities of foxtail barley, Canada thistle, perennial sow-thistle and kochia observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Control weeds and monitor in 2013.,,,
78,"SW 32, NW/NE 29-6-13",1110.33 to 1110.83,4201.01,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy with Problems (91%).,"Health: Healthy with Problems (61%). Weeds: Canada thistle, perennial sow-thistle. Elevated trench crown (approx. 10-40 cm). Undesirable species dominant on construction right-of-way. Bare ground on construction right-of-way.","Health: Healthy with Problems (67%). Weeds: Annual sow-thistle, Canada thistle, lamb’s-quarters. Disturbance and weedy species observed along construction right-of-way. Disturbance due to cattle utilization. Determined to be “resolved” due to land use changes by landowner. It is unlikely that the wetland will return to its baseline state. Land use alterations are out of Enbridge’s control.",Silt fence present.,--,--,Resolved,None.,,,
78,SW 32-6-13,1110.0 to 1111.0,4202.01,Vegetation - Weeds,"High density of field dock, Canada thistle, perennial sow-thistle, dandelion and false ragweed observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,No weeds observed and vegetation establishment evident.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,,
78,NW 28-6-13,1111.9 to 1112.7,4203,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Resolved,None.,,,
78,NE 28-6-13,1112.7 to 1113.0,4204,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
78,NE/SE 28-6-13,1112.78 to 1113.12,4204  4205,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy (82%).,Health: Healthy with Problems (63%).  Undesirable species dominant on construction right-of-way. Landowner has cultivated construction right-of-way.,"Health: Healthy with Problems (70%). Weeds: Common burdock, annual sow-thistle, kochia, lamb’s-quarters. Disturbance and weedy species observed along construction right-of-way.",No weeds observed and vegetation establishment evident.,Health: Healthy with Problems (69%). Determined to be “resolved” due to land use changes by landowner. It is unlikely that the wetland will return to its baseline state. Land use alterations are out of Enbridge’s control.,--,Resolved,None.,,,
79,NE 18-6-12,1120.1,4216,Vegetation - Establishment Water Quality and Quantity Cypress River,"Poor vegetation establishment on both banks. Minor rill erosion, slumping and unstable slopes on both banks. Approximately 50-70% willow success rate on both banks.",Poor vegetation establishment observed on west bank on construction right-of-way during ground reconnaissance.,Patchy growth on west side of the Cypress River.,Vegetation composition and density equal to off construction right-of-way.,Willows planted and area reseeded in fall 2011.,Resolved,None.,,,
79,NW 17-6-12,1120.7,4217,Soils - Erosion,Issue reported by construction contractor.,Gully erosion observed on the construction right-of-way during ground reconnaissance.,Very minor erosion observed on right-of-way in canola stubble field. Erosion is now stable.,Gully erosion (approx. 10 cm x 30 cm) observed in ditch on construction right-of-way during ground reconnaissance.,Erosion repaired in 2010.,Unresolved,"Stabilize soils, establish vegetation and monitor in 2013.",,,
79,NW 10-6-12,1124.25 to 1124.5,4222,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Landowner reported “low area”.,--,"Repaired low areas north of farm yard, restored swale, imported topsoil in 2011.",Unresolved,"Repair subsidence, if warranted and monitor in 2013.",,,
79,NW 10-6-12,1124.35 to 1124.6,4222,Soils - Admixing,Moderate admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Agronomist to inspect and sample soil for crop loss.,--,Imported topsoil in 2011.,Unresolved,Reassess soil parameters and monitor crop growth in 2013.,,,
79,NW 10-6-12,1124.6 to 1125.0,4222,Vegetation - Weeds,--,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Moderate densities of foxtail barley observed.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in October 2011.,Unresolved,Control weeds and monitor in 2013.,,,
79,NW 10-6-12,1124.6 to 1125.0,4222,Soils – Contouring,--,Landowner noted low area from dugout to fence line,"Landowner reported ""low area"". Unnatural contour.  Landowner stated right-of-way is 6"" lower than off right-of-way.",--,Hauled in topsoil and installed berm east of dugout in 2011.,Unresolved,Monitor in 2013.,,,
79,NE 10-6-12,1125.0 to 1125.6,4222.01,Vegetation – Establishment,--,--,Poor vegetation growth identified in 2011.,--,Seeded patchy growth on cattle runway and drainage swale fall in 2011.,Unresolved,Monitor in 2013.,,,
79,SE 10-6-12,1125.4 to 1125.85,4222.02,Vegetation - Establishment,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment evident.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Unresolved,Reseed and monitor in 2013.,,,
79,SE 10-6-12,1125.4 to 1125.85,4222.02,Soils – Compaction,--,--,--,Minor compaction observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted and monitor in 2013.",,,
79,SE 10-6-12,1125.5 to 1126.2,4222.02,Soils – Erosion,--,--,Rill erosion evident.,No erosion observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
79,NW 2-6-12,1127.0,4224,Soils - Compaction,Issue reported by construction contractor.,Rutting observed on construction right-of-way through drainage during ground reconnaissance.,--,No rutting observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
80,NE 31-5-11,1131.3 to 1131.5,4231,Topography – Slopes Soils - Erosion  Vegetation - Establishment Water Quality and Quantity Cypress River,"Poor vegetation establishment on construction right-of-way at west bank. Area is highly disturbed by cattle. East bank of construction right-of-way crossing is unstable. No trees were observed on the west slope, likely due to cattle traffic.",Poor vegetation establishment observed on west bank and approach slope on construction right-of-way during ground reconnaissance. Heavy cattle traffic on construction right-of-way at crossing.,Poor vegetation establishment observed on west side of the Cypress River; silt fence present.,Vegetation composition and density equal to off construction right-of-way.,Slopes repaired and reseeded fall 2011.,Resolved,None.,,,
80,NE 31-5-11,1131.5,4231,Water Quality and Quantity Cypress River,--,National Energy Board (NEB) inspection September 2011. NEB expressed concern of water restrictions at crossing. It was suggested to monitor creek crossing.,"Beavers have created a dam approximately 30 m upstream of the crossing. There is also a large sand bar instream, approximately 45 m upstream of the crossing blocking water flow.",Drainage issues observed not related to pipeline construction.,--,Resolved,None.,,,
80,NE 31-5-11,1131.3 to 1131.5,4231,Vegetation – Weeds,--,--,Small amount of absinthe on west bank. Other weeds are dead.,"Moderate density of absinthe, Canada thistle and false ragweed observed on construction right-of-way during ground reconnaissance.",Weeds sprayed August 2012.,Unresolved,Monitor in 2013.,,,
80,SE 32-5-11,1133.0 to 1133.5,4233.01,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Similar soil structure observed on and off right-of-way.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Reassess soil parameters in 2013.,,,
80,NW 24-5-11,1139.9,4241.01 4241.02,Topography – Slopes Soils - Erosion Vegetation - Establishment Water Quality and Quantity Unnamed Drainage,Silt fences are damaged. Area is highly disturbed by cattle. Poor vegetation establishment on both banks. Large gully starting to form down the bank on the east slope. Banks were observed to be poorly-recontoured and sediment has entered the drainage.,Moderate vegetation establishment on construction right-of-way at west bank. Heavy cattle traffic on construction right-of-way at crossing.,--,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Cattle traffic and erosion observed on construction right-of-way.,Area repaired and reseeded summer 2011.,Unresolved,Monitor in 2013.,,,
80,NW 24-5-11,1139.85 to 1140.0,"4241.01, 4241.02",Vegetation - Weeds,--,--,"Moderate densities of Canada thistle observed on slopes. A few thistles, alive  but withering. Absinthe is dead.",Low densities of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,,
