Land Description,KP,Land Use,Issue,Recommendation(s),Schedule,VEC,GIS,Topic
b-48-I/94-P-4,0.35,forested,Cross drainage,Recontour the bar ditch and increase openings in trench crown.,Final clean-up winter 2012/2013.,,,
b-49-I/94-P-4,0.98,forested,Trench line subsidence,Recontour and centre the trench crown over trench line.,Final clean-up winter 2012/2013.,,,
b-50-I/94-P-4,1.81,forested,Trench line subsidence,Recontour and centre the trench crown over trench line.,Final clean-up winter 2012/2013.,,,
