Plot,Coordinates,Species,Size,Qty,Overall Health,Additional Comments,VEC,GIS,Topic
W6a,17T0594519 4832767,Acer x freemanii,300 cm whip,2,Fair,1 dead,,,Upland Planting Zone
W6a,17T0594519 4832767,Acer rubrum,150 cm whip,1,Dead,1 dead,,,Upland Planting Zone
W6a,17T0594519 4832767,Betula papyrifera,40 mm cal.,1,Good,,,,Upland Planting Zone
W6a,17T0594519 4832767,Populus grandidentata,300 cm whip,1,Good,,,,Upland Planting Zone
W6a,17T0594519 4832767,Populus tremuloides,150 cm whip,1,Good,,,,Upland Planting Zone
W6a,17T0594519 4832767,Quercus macrocarpa,150 cm whip,3,Good,,,,Upland Planting Zone
W6a,17T0594519 4832767,Ulmus Americana,300 cm whip,1,Fair,,,,Upland Planting Zone
