Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
E1,SW 16-52-23,E 5.0 to E 6.1,EL4-0025.15,Vegetation - Weeds,Moderate density of scentless chamomile and wild oats on construction right-of-way at crop edge.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
E1,SW 16-52-23,E 5.1,EL4-0025.15,Soils - Compaction,Area of moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
E1,NW 9-52-23,E 6.1,EL4-0025.16,Soils - Subsidence,Ponded water at road crossing due to poor contouring on construction right-of-way. Potential for subsidence.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
E1,NW 9-52-23,E 6.1 to E 7.1,EL4-0025.16EL4-0025.17,Vegetation - Weeds and clubroot disease,Moderate density of cleavers and white cockle on construction right-of-way.,High density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,EDMONTON LOOP
E1,NW 9-52-23,E 7.1,EL4-0025.17,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
E1 and E2,SW 9-52-23,E 7.1 to E 7.9,EL4-0025.18,Vegetation - Weeds and clubroot disease,"High density of white cockle, lamb's-quarters, stinkweed, flixweed, creeping thistle and hemp-nettle on construction right-of-way.",High density of white cockle and creeping thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2011.,Unresolved,Monitor in 2012.,,,EDMONTON LOOP
E2,NW 4-52-23,E 8.7,EL4-0025.21,Vegetation - Weeds and clubroot disease,"Moderate density of white cockle, perennial sow-thistle and creeping thistle.",Moderate density of white cockle and creeping thistle observed on construction right-of-way during ground reconnaissance.,Landowner controlled weeds in summer 2011.,Unresolved,Monitor in 2012.,,,EDMONTON LOOP
E2,SW 4-52-23,E 8.75 to E 8.8,EL4-0025.22,2Wetland - Class III 008 Health: healthy with problems (67%),Health: unhealthy (32%) Weeds: creeping thistle; excessively weedy Landowner has cultivated through large portion of wetland. Bare ground on construction right-of-way. Approx. 20-30 cm crown.,Health: Healthy with Problems (68%) Weeds: creeping thistle patches observed;  Increased vegetation densities observed on construction right-of-way. Slightly grade change continues to be evident at south edge of wetland.,Landowner controlled weeds in summer 2011.,Resolved,None.,,,EDMONTON LOOP
E2,SW 4-52-23,E 8.9,EL4-0025.22,Soils - Contouring,Ponded water and rutting observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
E2,SW 4-52-23,E 9.5,EL4-0025.22,Soils - Subsidence,Unable to traverse entire quarter due to crop stage.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
E2,SW 4-52-23,E 9.5,EL4-0025.22,Soils - Stoniness,Unable to traverse entire quarter due to crop stage.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
E2,SW 4-52-23,E 9.5,EL4-0025.22,Vegetation - Weeds and clubroot disease,Unable to traverse entire quarter due to crop stage.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
E2,NE 33-51-23,E 10.1 to E 10.7,EL4-0025.25,Vegetation - Weeds,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Weed issue addressed in 2010.,Resolved,None.,,,EDMONTON LOOP
E2,NE 33-51-23,E 10.3,EL4-0025.25,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
E2 (cont’d),NE 33-51-23 (cont’d),E 10.8 to E 10.83,EL4-0025.25,Soils - Stoniness,Increased stoniness on construction right-of-way compared to off construction right-of-way observed during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Stoniness repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
E2,NW 34-51-23,E 10.9 to E 11.1,EL4-0025.26,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
E2,SW 34-51-23,E 11.7,EL4-0025.27,Soils - Stoniness,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Stoniness repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
E2,SW 35-51-23,E 12.8 to E 13.4,EL4-0025.29,Vegetation - Weeds,Moderate density of creeping thistle observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
E2,SW 35-51-23,E 12.8 to E 13.4,EL4-0025.29,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
E2,<s>SE 35-51-23</s>,E 13.6 to E 14.5,EL4-0025.30 EL4-0025.31 EL4-0025.32 EL4-0025.33,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010.,Resolved,None.,,,EDMONTON LOOP
E2,<s>SE 35-51-23</s>,E 14.1,EL4-0025.32,Soils - Subsidence,Issues reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
E2,<s>SE 35-51-23</s>,E 14.3,EL4-0025.32,Vegetation - Weeds,--,High density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,EDMONTON LOOP
E2,SW 36-51-23,E 14.5,EL4-0040.00,Soils - Uneven Topsoil,Issues reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Topsoil issue repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
E2,SW 36-51-23,E 14.5,EL4-0040.00,Soils - Contouring,Issues reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Contouring issue repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
E2,SW 36-51-23,E 14.5,EL4-0040.00,Soils - Subsidence,Issues reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
2,SE 36-51-23,E 15.4 to 13.0,EL4-0041.00 EL4-0041.01 EL4-0041.03,Vegetation - Weeds,Moderate density of creeping thistle on construction right-of-way.,High density of creeping thistle and wild mustard observed on construction right-of-way during ground reconnaissance.,Weeds sprayed by landowner in summer 2011.,Unresolved,Monitor in 2012.,,,EDMONTON LOOP
2,NE 25-51-23,13.3 to 14.3,EL4-0042.00,Vegetation - Weeds,High density of creeping thistle on construction right-of-way.,"Moderate density of white cockle, creeping thistle and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.",Weeds sprayed by landowner in summer 2011.,Unresolved,Monitor in 2012.,,,EDMONTON LOOP
2,NE 25-51-23,13.5 to 14.3,EL4- 0042.00,Vegetation - Establishment,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Weeds sprayed by landowner in summer 2011.,Unresolved,Reseed and monitor in 2012.,,,EDMONTON LOOP
2,SW 30-51-22,14.3 to 14.7,EL4-0044.00,Vegetation - Weeds,"High density of scentless chamomile, green smartweed and wild buckwheat on construction right-of-way.","Moderate density of wild mustard, stinkweed, stork’s-bill, wild buckwheat, shepherd’s-purse and green smartweed observed on construction right-of-way during ground reconnaissance.",Weeds sprayed by landowner in summer 2011.,Unresolved,Monitor in 2012.,,,EDMONTON LOOP
2,SW 30-51-22,14.6,EL4-0044.00,Soils - Subsidence,Severe subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
2,SW 30-51-22,14.7 to 15.2,EL4-0044.01,Vegetation - Weeds and clubroot disease,Moderate density of creeping thistle and low density scentless chamomile on construction right-of-way.,Moderate density of creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,EDMONTON LOOP
2,NW 19-51-22,15.2 to 15.8,EL4-0045.00,Vegetation - Weeds,Moderate density of creeping thistle and white cockle on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
2,NE 19-51-22,15.8,EL4-0045.00,Vegetation - Weeds and clubroot disease,Moderate density of creeping thistle and white cockle on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
2,NE 19-51-22,15.8,EL4-0047.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
2,SE 19-51-22,16.1 to 17.2,EL4-0048.00 EL4-0049.00,Vegetation - Weeds,High density of creeping thistle and low density white cockle on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Weeds sprayed and area re-seeded in summer 2011.,Resolved,None.,,,EDMONTON LOOP
