Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
3,NW 36-49-22,34.5,EL4-0082.00,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
3,NE 36-49-22,34.75 to 35.3,EL4-0083.00,Vegetation - Weeds,"Moderate density of wild buckwheat, stinkweed and absinthe observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
3,NE 36-49-22,34.75 to 35.3,EL4-0083.00,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010.,Resolved,None.,,,EDMONTON LOOP
3,NE 36-49-22,34.75 to 35.3,EL4-0083.00,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,,EDMONTON LOOP
3,NE 36-49-22,34.92,EL4-0083.00,Soils - Erosion,Gully erosion observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Erosion repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
3,NE 36-49-22,35.03,EL4-0083.00,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
3,SE 36-49-22,35.4,EL4-0084.00,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
3,SE 36-49-22,35.3 to 35.4,EL4-0084.00,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,,EDMONTON LOOP
3,SW 31-49-21,35.9,EL4-0085.00,Vegetation - Weeds and clubroot disease,Moderate density of volunteer canola and wild buckwheat on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
3,SW 31-49-21,36.05,EL4-0085.00,Soils - Contouring,Area of ponded water on construction right-of-way due to poor contouring observed during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
3,SW 31-49-21,36.05 to 36.2,EL4-0085.00,Vegetation - Crop growth,--,Reduced crop growth observed on construction right-of-way by Environmental Inspector.,--,Unresolved,Monitor crop growth in 2012.,,,EDMONTON LOOP
3,SW 31-49-21,36.05 to 36.2,EL4-0085.00,Soils - Admixing,--,Severe admixing observed on construction right-of-way by Environmental Inspector.,--,Unresolved,"Source and add clean topsoil to address admixing, if warranted. Monitor crop growth in 2012.",,,EDMONTON LOOP
4,NW 33-48-20,52.0,EL4-0112.00,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
4,NW 33-48-20,52.05,EL4-0112.00,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,,KINGMAN LOOP
4 (cont’d),NW 33-48-20 (cont’d),52.26,EL4-0112.00,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
4,NW 33-48-20 to SE 33-48-20,52.0 to 53.4,EL4-0112.00 EL4-0113.00 EL4-0114.00,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
4,NE 33-48-20,52.44,EL4-0113.00,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
4,NE 33-48-20,52.6,EL4-0113.00,Soils - Contouring,Area of ponded water observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
4,SW 34-48-20,53.7 to 53.8,EL4-0115.01,2Wetland - Class III 008 Health: healthy (89%),Health: unhealthy (25%) Weeds: creeping thistle Landowner has bisected wetland with cultivation along construction right-of-way.,Health: Healthy (82%) Excellent vegetation regeneration Wetland hydrology and vegetation has returned to portion that was previously cultivated by landowner,Reseeded in summer 2011.,Resolved,None.,,,KINGMAN LOOP
5,NE 27-48-20,54.8,EL4-0117.00,Vegetation - Weeds and clubroot disease,"High density of wild oats, foxtail barley and wild buckwheat on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,NE 27-48-20 to NW 26-48-20,54.8 to 56.0,EL4-0117.00 EL4-0118.00,Soils - Stoniness,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Stoniness repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
5,NW 26-48-20,55.27,EL4-0118.00,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor crop growth in 2012.,,,KINGMAN LOOP
5,NW 26-48-20,55.27,EL4-0118.00,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2012.",,,KINGMAN LOOP
5,NW 26-48-20,55.38,EL4-0118.00,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor crop growth in 2012.,,,KINGMAN LOOP
5,NW 26-48-20,55.38,EL4-0118.00,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2012.",,,KINGMAN LOOP
5,NW 26-48-20,55.54,EL4-0118.00,Soils- Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,NW 26-48-20,55.7,EL4-0118.00,Soils- Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5 (cont’d),NW 26-48-20 (cont’d),56.0,EL4-0118.00,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,,KINGMAN LOOP
5,NE 26-48-20,56.0 to 56.8,EL4-0119.00,Vegetation - Weeds and clubroot disease,"Moderate density of narrow-leaved hawk's-beard, wild buckwheat and lamb's-quarters on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,NE 26-48-20,56.7,EL4-0119.00,Vegetation - Establishment,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,SW 25-48-20,56.9 to 57.5,EL4-0121.00,Soils - Contouring,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,SE 25-48-20,57.8 to 58.7,EL4-0122.00 EL4-0122.01,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,NE 19-48-19,59.5 to 59.6,EL4-0125.00,2Wetland - Class III 008 Health: healthy with problems (61%),Health: unhealthy (40%) Weeds: creeping thistle; excessively weedy Riparian: minimal willows present; wetland cultivated to edge.,Health: Healthy with problems (65%) Weeds: perennial sow-thistle Riparian: wetland is cultivated to edge – reduced riparian fringe,--,Resolved,None.,,,KINGMAN LOOP
5,NE 19-48-19 to  NW 20-48-19,59.6 to D 0.4,EL4-0125.00 EL4-0126.00,Soils - Stoniness,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Stoniness repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
5,NE 19-48-19,60.4,EL4-0125.00,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,,KINGMAN LOOP
5,NW 20-48-19,60.5 and D 0.4,EL4-0126.00,Vegetation - Weeds and clubroot disease,"High density of pineappleweed, scentless chamomile, lamb's-quarters and shepherd's-purse on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,NE 20-48-19,D 0.4,EL4-0126.01,Vegetation - Weeds,"High density of pineappleweed, scentless chamomile, lamb's-quarters and shepherd's-purse observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,SW 21-48-19,D 1.3,EL4-0129.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
5,SW 21-48-19,D 1.3,EL4-0129.00,Vegetation - Weeds and clubroot disease,"High density of lamb's-quarters, Russian pigweed, foxtail barley and narrow-leaved hawk's-beard on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5 (cont’d),SW 21-48-19 (cont’d),63.1,EL4-0129.00,Vegetation - Weeds and clubroot disease,Quarter recently sprayed. Not assessed.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,NE 16-48-19,64.0,EL4- 0132.00,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way by Environmental Inspector.,Subsidence repaired in 2010.,Unresolved,Repair subsidence and monitor in 2012.,,,KINGMAN LOOP
5,NW 15-48-19,64.2,EL4-0133.00,Soils - Admixing,Minor admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Admixing repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
5,NW 15-48-19,64.2 to 64.7,EL4-0133.00 EL4-0133.01 EL4-0133.02,Soils - Subsidence,Subsidence observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
5,NE 15-48-19,64.9 and 65.2,EL4-0134.00,Vegetation - Weeds and clubroot disease,"Moderate density of perennial sow-thistle, creeping thistle, foxtail barley and wild oats on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,NE 15-48-19,65.1,EL4-0134.00,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,NE 15-48-19,65.1,EL4-0134.00,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,SE 14-48-19,66.7 and C 0.2,EL4-0137.00,Vegetation - Weeds and clubroot disease,"Moderate density of pineappleweed, wild buckwheat and stinkweed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,SE 14-48-19,67.0,EL4-0137.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
5,SE 14-48-19,C 0.2,EL4-0137.00,Soils - Subsidence,Issue reported by construction contractor.,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,,KINGMAN LOOP
5,SW 13-48-19,C 0.2 to C 1.0,EL4-0137.01,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,SW 13-48-19,C 0.4,EL4-0137.01,Soils - Erosion,--,Rill erosion observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair erosion and monitor in 2012.,,,KINGMAN LOOP
5,NE 12-48-19,C 1.3 to C 1.5,EL4-0140.00,Topography  Soils - Water Erosion Soils - Stoniness,Erosion rills on east slope on construction right-of-way. No stoniness issues observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5,NE 12-48-19,C 1.3 to C 1.5,EL4-0140.00,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Unresolved,Monitor grass growth in 2012.,,,KINGMAN LOOP
5 (cont’d),NE 12-48-19 (cont’d),C 1.3 to 69.4,EL4-0140.00,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
5 (cont’d),NE 12-48-19 (cont’d),C 1.3 to 69.4,EL4-0140.00,Vegetation - Weeds,"High density of foxtail barley, lamb's-quarters, narrow-leaved hawk's-beard, green smartweed and common peppergrass observed on construction right-of-way during ground reconnaissance.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,KINGMAN LOOP
6,SW 7-48-18,69.4 and 70.3,EL4-0142.00 EL4-0142.01,Vegetation - Weeds and clubroot disease,"Moderate to high density of scentless chamomile, stinkweed and common peppergrass on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
6,SW 7-48-18,69.4,EL4-0142.00,Soils - Subsidence,Subsided area at bellhole observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
6,SW 7-48-18,69.5,EL4-0142.00,DSoils - Erosion  rainage,Erosion on southeast edge of drainage observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Erosion repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
6,SW 7-48-18,69.5 to 70.3,EL4-0142.01,Soils - Admixing,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Admixing repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
6,SE 7-48-18,71.17,EL4-0143.00,Soils - Erosion,Erosion near road crossing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
6,SE 7-48-18,70.3 to 71.17,EL4-0143.00,Soils - Admixing,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Admixing repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
6,SW 8-48-18,71.17 to 71.2,EL4-0144.00,Soils - Admixing,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Admixing repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
6,NW 5-48-18,71.2 to 72.2,EL4-0145.00,Soils - Admixing,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Admixing repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
6,NW 5-48-18,71.42,EL4-0145.00,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,,KINGMAN LOOP
6,NE 5-48-18,72.2 to 72.7,EL4-0146.00,Soils - Admixing,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Admixing repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
6,NE 5-48-18,72.2 to 72.7,EL4-0146.00,Vegetation - Weeds,"High density of absinthe, pineappleweed and stinkweed observed on construction right-of-way during ground reconnaissance.","Moderate density of shepherd’s-purse, pineappleweed, lamb’s-quarters, stinkweed, narrow-leaved hawk’s-beard and scentless chamomile observed on construction right-of-way during ground reconnaissance.",Reseeded in 2010.,Unresolved,Follow weed control plan and monitor in 2012.,,,KINGMAN LOOP
6 (cont’d),NE 5-48-18 (cont’d),72.3 to 72.7,EL4- 0146.00,Vegetation - Establishment,--,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010 and in summer 2011.,Unresolved,Monitor grass growth in 2012.,,,KINGMAN LOOP
6,SE 5-48-18,72.7,EL4-0147.00,DVegetation - Establishment  rainage,Poor vegetation establishment along drainage channel observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010.,Resolved,None.,,,KINGMAN LOOP
6,SE 5-48-18,72.8 to 72.9,EL4-0147.00,Vegetation - Crop Growth,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
6,SW 4-48-18,73.1 to 74.1,EL4-0148.00,Vegetation - Establishment,Issue reported by construction contractor.,Moderate vegetation establishment due to cattle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor grass growth in 2012.,,,KINGMAN LOOP
6,SW 34-47-18,75.8,EL4-0152.00,Vegetation - Weeds and clubroot disease,Moderate density of creeping thistle and perennial sow-thistle on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
6,SE 34-47-18,76.0,EL4-0153.00,Vegetation - Weeds and clubroot disease,Moderate density of creeping thistle and perennial sow-thistle on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
6,SE 34-47-18,76.0,EL4-0153.00,Soils - Rutting,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Rutting repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
6,SE 34-47-18,76.9,EL4-0153.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
6,SE 34-47-18,76.9,EL4-0153.00,Soils - Contouring,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Contouring repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
6,NW 26-47-18,77.4,EL4-0155.00,Vegetation - Weeds and clubroot disease,"Moderate density of creeping thistle, scentless chamomile, hemp-nettle and stinkweed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
6,NW 25-47-18,78.8 to 79.0,EL4-0157.00,Vegetation - Weeds,"High density of foxtail barley, perennial sow-thistle, lamb's-quarters, creeping thistle and scentless chamomile observed on construction right-of-way during ground reconnaissance.","Moderate density of foxtail barley, perennial sow-thistle and narrow-leaved hawk’s-beard observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,KINGMAN LOOP
6,NW 25-47-18,78.8 to 79.0,EL4-0157.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in fall 2011.,Resolved,None.,,,KINGMAN LOOP
6,SW 25-47-18,79.0,EL4-0158.00,Vegetation - Weeds and clubroot disease,"High density of foxtail barley, perennial sow-thistle, lamb's-quarters, creeping thistle and scentless chamomile on construction right-of-way.",High density of foxtail barley and creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,KINGMAN LOOP
6,SE 25-47-18,79.7 and 80.6,EL4-0159.00,Vegetation - Weeds and clubroot disease,"High density of foxtail barley, scentless chamomile and perennial sow-thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
7,SW 20-47-17,82.5,EL4-0164.00,Vegetation - Weeds and clubroot disease,"Moderate density of lamb's-quarters, wild buckwheat, and shepherd's-purse on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
7,SW 20-47-17,82.5 to 82.8,EL4-0164.00,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,,KINGMAN LOOP
7,SE 20-47-17,83.5,EL4-0165.00,Vegetation - Weeds and clubroot disease,"Moderate density of foxtail barley, scentless chamomile and Russian pigweed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
7,NE 17-47-17,84.25,EL4-0166.00,Soils - Subsidence,Issues reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,Repair subsidence and monitor in 2012.,,,KINGMAN LOOP
7,NW 16-47-17,84.4 to 85.3,EL4-0167.00,Vegetation - Crop Growth,Reduced crop growth in low-lying areas throughout quarter observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor crop growth in 2012.,,,KINGMAN LOOP
7,NW 16-47-17,84.4 to 85.3,EL4-0167.00,Vegetation - Weeds,--,Moderate density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,Weeds sprayed by landowner in summer 2011.,Unresolved,Monitor in 2012.,,,KINGMAN LOOP
7,SW 15-47-17,86.3,EL4-0170.00,Vegetation - Weeds and clubroot disease,"Moderate to high density of foxtail barley, narrow-leaved hawk's-beard, common peppergrass and gumweed on construction right-of-way.",Moderate density of narrow-leaved hawk’s-beard and scentless chamomile observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,KINGMAN LOOP
7,SE 15-47-17,87.2 to 87.5,EL4-0171.00,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
7,NE 10-47-17,87.5 to 88.0,EL4-0172.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
7,SE 11-47-17,89.2 to 90.0,EL4-0175.00,Soils - Stoniness,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Stoniness repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
7,SW 12-47-17,90.0 to 90.7,EL4-0176.00,Soils - Stoniness,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Stoniness repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
7,NW 1-47-17,90.7 to 90.9,EL4-0177.00,Soils - Stoniness,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Stoniness repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
7,NE 1-47-17,90.9 to 91.8,EL4-0178.00,Soils - Stoniness,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Stoniness repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
7,SE 6-47-17,92.8 to 93.8,EL4-0181.00,Soils - Stoniness,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Stoniness repaired in 2010.,Resolved,None.,,,KINGMAN LOOP
7,SW 5-47-16,93.8,EL4-0182.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Unresolved,Monitor grass growth in 2012.,,,KINGMAN LOOP
7,NE 31-46-16,94.0,EL4-0184.00,Vegetation - Weeds and clubroot disease,Moderate density of perennial sow-thistle on construction right-of-way.,Moderate density of creeping thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,KINGMAN LOOP
7,NW 32-46-16,95.1,EL4-0185.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
7,SW 32-46-16,95.4,EL4-0186.00,Soils - Compaction,Severe compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
7,SE 32-46-16,97.0,EL4-0187.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
7,NE 28-46-16,98.0 to 98.4,EL4-0192.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,KINGMAN LOOP
9,NE 35-45-15,113.8,EL4-0218.00,Soils - Compaction,Severe compaction on north side of construction right-of-way observed during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
9,NW 36-45-15,114.1 to 114.2,EL4-0219.00,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
9,NW 36-45-15,114.15,EL4-0219.00,Vegetation - Crop Growth,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor in 2012.,,,STROME LOOP
9,NW 36-45-15,114.25 to 114.3,EL4-0219.00,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,STROME LOOP
9,NW 36-45-15,114.37,EL4-0219.00,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
9,NW 36-45-15,114.5,EL4-0219.00,Vegetation - Weeds and clubroot disease,"Moderate density of scentless chamomile, stinkweed and shepherd's-purse on construction right-of-way.",Moderate density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2011.,Unresolved,Monitor in 2012.,,,STROME LOOP
9,SW 31-45-14,116.1,EL4-0223.00,Vegetation - Weeds,--,Moderate density of scentless chamomile and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2011.,Unresolved,Monitor in 2012.,,,STROME LOOP
9,NW 30-45-14,116.15,EL4-0223.00,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,STROME LOOP
9,NW 30-45-14,116.15,EL4-0223.00,Soils - Stoniness,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Stoniness repaired in 2010.,Resolved,None.,,,STROME LOOP
9,NW 21-45-14,119.7,EL4-0229.00,Vegetation - Weeds and clubroot disease,Moderate density of creeping thistle on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
9,NW 21-45-14,120.6,EL4-0229.00,Vegetation - Weeds and clubroot disease,"High density of scentless chamomile, perennial sow-thistle, stinkweed, creeping thistle and wild oats on construction right-of-way.","Moderate density of scentless chamomile, perennial sow-thistle and creeping thistle observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,STROME LOOP
9,NE 21-45-14,120.7,EL4-0230.00,Vegetation - Weeds and clubroot disease,Moderate density of creeping thistle and perennial sow-thistle on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,STROME LOOP
