Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
74,SE 5-8-19,1049.5 to 1050.3,4122.01,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,,
74,SE 5-8-19,1050.15  and 1050.35,4122.01,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
74,SE 5-8-19,1050.2 to 1050.3,4122.02,Vegetation - Weeds,"Moderate density creeping thistle, common burdock, perennial sow-thistle, black medick and lamb’s-quarters on construction right-of-way.",Moderate density of creeping thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in fall 2011.,Unresolved,Monitor in 2012.,,,
74,SE 5-8-19,1050.2 to 1050.3,4122.02,Soils - Erosion,"Straw crimping is thick in several areas, impeding vegetation establishment, but is successful in limiting erosion.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
74,NE 33-7-19,LC 1.0 to LC 1.8,4124,Soils - Erosion Land and Resource Use - organic farm Vegetation - Weeds,"Moderate density of green smartweed, creeping thistle, false ragweed, leafy spurge, common plantain and field dock on construction right-of-way. No soil erosion issues observed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
74,NE 33-7-19,LC 1.8,4124,Vegetation - Weeds,"Moderate density of green smartweed, creeping thistle, false ragweed, leafy spurge, common plantain and field dock on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
74,NW 34-7-19,LC 1.8 to LC.2.9,4125,Vegetation - Weeds,"Moderate density of perennial sow-thistle, field dock, spear-leaved goosefoot, false ragweed, Russian thistle, stinkweed and white cockle observed on construction right-of-way during ground reconnaissance.","Moderate density of creeping thistle, spear-leaved goosefoot, narrow-leaved hawk’s-beard and foxtail barley observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,
74,NW 34-7-19,LC 1.8 to LC.2.9,4125,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,,
74,NW 34-7-19,LC 2.65 to LC 2.74,4125,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy with Problems (69%),"Health: Unhealthy (38%).  Weeds: creeping thistle, perennial sow-thistle. Undesirable species dominant on construction right-of-way. Riparian: woody vegetation removed. Landowner has cultivated wetland margins. Heavily disturbed by cattle.",Health: Healthy with Problems (79%),Creeping thistle patches located in corner of fenced construction right-of-way but not within wetland margins. No remedial action due to organic farm.,Resolved,None.,,,
74,NE 34-7-19,LC 2.9 to 1053.7,4126,Vegetation - Weeds,"Moderate density of lamb’s-quarters, false ragweed, field dock, green foxtail, creeping thistle and volunteer canola on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
74,NW 35-7-19,1053.7 to 1054.5,4127 4127.01 4127.99,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
74,NW 35-7-19,1053.7 to 1054.5,4127 4127.01 4127.99,Vegetation - Weeds,"High density of dog mustard, false ragweed, foxtail barley, spear-leaved goosefoot, perennial sow-thistle, field dock, redroot pigweed and wild oats observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
74,NW 35-7-19,1054.3,4127.01,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
74,NE 35-7-19,1054.5 to 1055.4,4127.02,Vegetation - Weeds,"Moderate density of perennial sow-thistle, wild oats, spear-leaved goosefoot, field dock, redroot pigweed, Russian thistle, white cockle and dandelion observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
74,W1/2 36-7-19,1055.8,4128,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
75,SW 36-7-19,1055.8 to 1056.3,4129,Vegetation - Weeds,"Moderate density of perennial sow-thistle, common burdock, green smartweed, field dock and dandelion on construction right-of-way.","Moderate density of foxtail barley, field dock, creeping thistle and narrow-leaved hawk’s- beard observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,
75,SE 36-7-19,1056.3 to 1057.0,4129 4130,Soils - Erosion,Hay land recently tilled on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
75,SE 36-7-19,1056.3 to 1057.0,4129 4130,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
75,SW 31-7-18,1057.0 to 1057.8,4131,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
75,SE 31-7-18,1058.60 to 1058.70,4132,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy (93%),Health: Healthy with Problems (72%).  Bare ground on construction right-of-way. Open water exists where emergent vegetation was prior to construction. Landowner has cultivated construction right-of-way.,"Health: Healthy with Problems (77%) Weeds: perennial sow-thistle, creeping thistle Disturbance and weedy species observed along construction right-of-way Landowner has cultivated wetland margins",Completed seeding of restored washout area with skid steer in 2011. Repair of washout with small dozer. Seeding of berm on east edge of field to prevent further rill erosion.,Unresolved,Monitor in 2012.,,,
75,SW 32-7-18,1058.75,4133,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
75,NE 28-7-18,1061.2 to 1062.0,4137,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
75,NW 27-7-18,1062.0 to 1062.8,4138,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
75,NW 26-7-18,1063.7 to 1063.95,4140 4140.01,Land and Resource Use - organic farm Vegetation - Weeds,"Moderate density of redroot pigweed, wild buckwheat, perennial sow-thistle, creeping thistle, stinkweed, green smartweed and spear-leaved goosefoot on construction right-of-way.",Moderate density of creeping thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,
75,NW 26-7-18,1064.1 to 1064.6,4141 4142,Vegetation - Weeds Land and Resource Use - organic farm,"High density of wild oats, redroot pigweed, kochia, perennial sow-thistle, creeping thistle, green smartweed and lamb’s-quarters on construction right-of-way.",Moderate density of creeping thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,
75,NE 26-7-18,1064.6 to 1065.4,4142,Vegetation - Weeds Land and Resource Use - organic farm,"High density of wild oats, redroot pigweed, kochia, perennial sow-thistle, creeping thistle, green smartweed and lamb’s-quarters on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
75,NE 26-7-18,1064.6 to 1065.4,4142,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
75,NE 26-7-18,1064.6 to 1064.8,4142,Soils - Subsidence,--,Moderate subsidence observed on the construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,,
75,SW 25-7-18,1065.8,4143,BSoils - Water Erosion Water Quality and Quantity Fish and Fish Habitat lack Creek,Poor vegetation establishment on west bank and silt fences damaged.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Resolved,None.,,,
75,SW 25-7-18,1065.8,4143,BVegetation – Weeds lack Creek,--,"Moderate density of creeping thistle, narrow-leaved hawk's-beard and foxtail barley observed on north bank during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,
75,SW 25-7-18,1065.85 to 1066.2,4143,Vegetation - Weeds,"Moderate density of false ragweed, spear-leaved goosefoot, foxtail barley and white cockle on construction right-of-way.","Moderate density of foxtail barley, hemp nettle, narrow-leaved hawk’s-beard and creeping thistle observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,
75,SE 30-7-17,1067.9 to 1068.4 and 1068.7,4145,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
75,SE 30-7-17,1068.0 to 1068.7,4144 4145,Vegetation - Weeds,"Moderate density of lamb’s-quarters, spear-leaved goosefoot, false ragweed and Russian thistle observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
75,SW 29-7-17,1068.7 to 1069.6,4145.01 4146,Vegetation - Weeds,"Moderate density of spear-leaved goosefoot, wild buckwheat, kochia, redroot pigweed, white cockle, stinkweed and green smartweed observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
75,SW 29-7-17,1068.7 to 1069.6,4145.01 4146,Soils - Admixing,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
75,SW 29-7-17,1069.2,4145.01,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
75,NW 20-7-17,1069.5,4147,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
76,NW 21-7-17,1070.4 to 1071.3,4149,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
76,NW 22-7-17,1072.2 to 1072.5,4150,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,NW 22-7-17,1072.6 to 1073.0,4150,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,,
76,NW 22-7-17,1072.8,4150,Vegetation - Weeds,"Moderate density of redroot pigweed, common burdock, lamb’s-quarters, common tansy, leafy spurge, green foxtail and false ragweed on construction right-of-way.",High density of creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,
76,N1/2 22 to SE 22-7-17,1072.5 to 1074.0,4150 4151 4152 4153 4154,STopography Soils - Wind and Water Erosion Water Quality and Quantity Fish and Fish Habitat ouris River,Minor slumping on west bank.,Poor vegetation establishment on west bank and approach slope observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Unresolved,Monitor in 2012.,,,
76,SE 22-7-17,1073.2 to 1073.9,4152,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
76,SE 22-7-17,1073.6 to 1073.9,4153 4154,Vegetation - Weeds,--,Moderate density of common burdock and creeping thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in fall 2011.,Unresolved,Monitor in 2012.,,,
76,SW 23-7-17,1074.1 to  W 0.4,4155,Vegetation - Weeds,"Moderate density of redroot pigweed, leafy spurge, false ragweed, stinkweed, kochia, lamb’s-quarters, creeping thistle, green foxtail and Russian thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,SW 23-7-17,1074.1,4155,Soils - Water Erosion Water Quality and Quantity - Field Drain,Silt fencing damaged on construction right-of-way. No alteration of drainage patterns observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,SW 23-7-17,"1074.0, W 0.0 and W 0.3",4155,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
76,NW 14-7-17,W 1.0,4155.01,Vegetation - Establishment,Poor vegetation establishment of desired wetland species observed on construction right-of-way within wetland crossing during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,NW 14-7-17,W 1.0,4155.01,Vegetation - Weeds,"Moderate density of common knotweed, foxtail barley, Russian thistle, perennial sow-thistle, lamb’s-quarters, kochia, field dock observed on construction right-of-way during ground reconnaissance.","Moderate density of foxtail barley, creeping thistle, perennial sow-thistle and wild oats observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,
76,NW 14-7-17,W 0.35 and W 0.9,4155.01,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
76,NE 14-7-17,W 2.0,4155.03,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
76,NE 13-7-17,W 2.8 to W 3.6,4157,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
76,NW 18-7-16,W 3.6 to W 4.4,4158,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
76,NW 18-7-16,W 4.1,4158 4158.01,SSoils - Water Erosion Fish and Fish Habitat pring Brook,Severe cattle impacts to west bank of crossing.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,NW 18-7-16,W 4.1,4158 4158.01,SVegetation – Weeds pring Brook,"Moderate density of false ragweed, creeping thistle, field dock spear-leaved goosefoot and stinkweed observed on banks on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,NE 18-7-16,W 5.1,4159,USoils - Water Erosion nnamed Drainage,Poor vegetation establishment within drainage on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Silt fence removed in summer 2011.,Resolved,None.,,,
76,NW 16-7-16,W 6.9 to W 7.2,4162,Soils - Erosion,Construction right-of-way does not appear to have been seeded.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,NW 16-7-16,W 6.9 to W 7.2,4162,Vegetation - Weeds,"Moderate density of foxtail barley, wild oats, Russian thistle, kochia and lamb's-quarters on construction right-of-way.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,
76,NW 16-7-16,W 7.2 to W 7.35,4162,Soils - Compaction,Moderate to severe compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,NW 16-7-16,W 7.35 to W 7.9,4162,Soils - Admixing,Moderate admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,NW 16-7-16,W 7.35 to W 7.9,4162,Soils - Erosion,Construction right-of-way does not appear to have been seeded.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,NW 16-7-16,W 7.35 to W 7.9,4162,Vegetation - Weeds,"Moderate density of foxtail barley, wild oats, Russian thistle, Kochia and lamb's-quarters on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,NE 16-7-16,W 7.9 to 1082.3,4163,Vegetation - Weeds,"Moderate density of redroot pigweed, downy brome, stinkweed, false ragweed, lamb’s-quarters, kochia, Russian thistle, creeping thistle and spear-leaved goosefoot on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,NE 16-7-16,W 7.9 to 1082.3,4163,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,NE 16-7-16,1081.9,4163,UVegetation – Establishment nnamed drainage,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Unresolved,Monitor in 2012.,,,
76,NE 16-7-16,1082.3,4163,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
76,NW 15-7-16,1082.3 to 1083.1,4164,Vegetation - Establishment,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,SE 15-7-16,1083.5 to 1084.0,4166,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,SW 14-7-16,1084.0 to 1084.8,4167,Vegetation - Weeds,"High density of false ragweed, green foxtail, kochia, creeping thistle, redroot pigweed and prostrate pigweed observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,SE 14-7-16,1084.8 to 1085.7,4168,Vegetation - Weeds,"High density of false ragweed, green foxtail, downy brome, Russian thistle, kochia, redroot pigweed and creeping thistle on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
76,SE 14-7-16,1084.8 to 1085.7,4168,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 and requested paratilling. Moderate compaction observed on right-of--way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2012.",,,
76,SE 14-7-16,1084.8 to 1085.7,4168,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77,SE 13-7-16,1086.5 to 1087.4,4169.01 4169.02,OVegetation – Establishment  ak Creek,--,Poor vegetation establishment on west bank and moderate vegetation establishment on approach slopes observed on construction right-of-way during ground reconnaissance.,"Banks restored, protected and reseeded in fall 2011.",Unresolved,Monitor in 2012.,,,
77,SE 13-7-16,1086.5 to 1087.4,4169.01 4169.02,OVegetation - Weeds ak Creek,"High weeds density false ragweed, lamb’s-quarters, Russian thistle, stinkweed, creeping thistle, Canada fleabane and field dock on south east bank of construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77,SW 18-7-15,1088.1,4170.01,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
77,NE 7-7-15,1088.7 to 1089.1,4172,Vegetation - Weeds,"High density of green foxtail, spear-leaved goosefoot, lamb’s-quarters, false ragweed and creeping thistle observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77,NE 7-7-15,1088.7 to 1089.1,4172,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
77,NW 8-7-15,1089.1 to 1089.8,4173,Vegetation - Weeds Land and Resource Use - organic farm,"Moderate density of redroot pigweed, wild oats, green foxtail and downy brome on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77,NW 8-7-15,1089.15,4173,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
77,NE 8-7-15,1089.9 to 1090.7,4173.01,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
77,NW 9-7-15,1090.7 to 1091.5,4174,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77,NW 9-7-15,1090.7 to 1091.5,4174,Vegetation - Weeds,"Moderate density of redroot pigweed, green foxtail and prostrate pigweed observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77,NW 9-7-15,1090.7 to 1091.5,4174,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 requesting paratilling due to compaction. No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77,NW 9-7-15,1090.7 to 1091.5,4174,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77,NW 10-7-15,1092.4 to 1093.2,4176,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77,NW 10-7-15,1092.4 to 1093.2,4176,Land and Resource Use - organic farm Vegetation - Weeds,"High density of green foxtail, kochia, prostrate pigweed, redroot pigweed and wild oats on construction right-of-way.",Moderate density of creeping thistle and green foxtail observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow non-chemical weed control plan and monitor in 2012.,,,
77,NW 10-7-15,1092.4 to 1093.2,4176,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
77,NE 10-7-15,1093.95,4177,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
77,SE 10-7-15,1094,4178,Vegetation - Weeds,"Moderate density of false ragweed, redroot pigweed, green foxtail, lamb’s-quarters and wild buckwheat observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77,SW 11-7-15,1094.0 to 1094.2,4180,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
77,SE 11-7-15,1095.5,4181,Vegetation - Weeds Land and Resource Use - Certified Seed Land,"Moderate density of green foxtail, prostrate pigweed, redroot pigweed, volunteer canola, creeping thistle and wild oats on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77,SW 12-7-15,1095.7 to 1096.5,4182,Soils - Compaction,Moderate compaction and reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77,SE 12-7-15,1096.5 to 1097.3,4183,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
77,SW 7-7-14,1097.7,4184,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
77,SE 7-7-14,1098.2 to 1099.0,4185,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
78,NW 5-7-14,1099.1 to 1099.9,4187,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
77 to 78,NE 5-7-14,1099.9 to 1100.75,4188,Soils - Compaction,--,Landowner expressed concern about compaction in April 2011 and requested paratilling. No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
77 to 78,NE 5-7-14,1099.9 to 1100.75,4188,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
77 to 78,NE 5-7-14,1100.3 to 1100.8,4188,Soils - Admixing,Reduced crop growth on construction right-of-way. Moderate admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
78,NE 4-7-14,1102.2,4190,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
78,NW 3-7-14,1102.4 to GB 0.0,4191,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
78,SW 2-7-14,GB 1.5 to GB 2.3,4193.03 4194,Vegetation - Weeds,"High density of kochia, false ragweed, field dock, creeping thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
78,SW 1-7-14,1105.8 to 1106.5,4197,Vegetation - Weeds,"High density of wild oats, green foxtail, green smartweed, lamb’s-quarters, perennial sow-thistle, redroot pigweed, kochia and white cockle observed on construction right-of-way during ground reconnaissance.","Moderate density of field dock, spear-leaved goosefoot, foxtail barley and creeping thistle were observed on the construction right-of-way during ground reconnaissance",--,Unresolved,Follow weed control plan and monitor in 2012.,,,
78 (cont’d),SW 1-7-14 (cont’d),1105.8 to 1106.6,4197,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
78,NW 36-6-14,1106.87 to 1107.18,4198,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy with Problems (60%),Health: Unhealthy (31%).  Undesirable species dominant on construction right-of-way. Bare ground on construction right-of-way. Landowner has cultivated portion of construction right-of-way.,Health: Healthy with Problems (70%),--,Resolved,None.,,,
78,NE 36-6-14,1107.4 to 1108.4,4199,Land and Resource Use - organic farm Vegetation - Weeds,"Moderate density of spear-leaved goosefoot, dandelion, creeping thistle, common plantain and foxtail barley on construction right-of-way.","Moderate density of spear-leaved goosefoot, creeping thistle, narrow-leaved hawk's-beard and foxtail barley observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow non-chemical weed control plan and monitor in 2012.,,,
78,NW 31-6-13,1108.4 to 1108.9,4199.01 4200,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
78,NW 31-6-13,1108.4 to 1108.9,4199.01 4200,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
78,NW 31-6-13,1108.4 to 1108.9,4199.01 4200,Soils - Admixing,Moderate admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
78,NW 31-6-13,1108.4 to 1108.9,4199.01 4200,Vegetation - Weeds,"Moderate density of spear-leaved goosefoot, foxtail barley, false ragweed, stinkweed, common peppergrass, green foxtail, wild buckwheat and creeping thistle observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
78,SW 31-6-13,1108.9 to 1109.3,4200.01,Vegetation - Weeds,"High density of spear-leaved goosefoot, lamb’s-quarters, false ragweed, green foxtail and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
78,SE 31-6-13,1109.4 to 1110.0,4201,Vegetation - Weeds,"Moderate density of perennial sow-thistle, dandelion, spear-leaved goosefoot, field dock, common knotweed and foxtail barley observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
