Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
70,NE 1-9-26,985.7 to 986.5,4049,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
70,NW 5-9-25,988.2 to 989.0,4052,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unable to survey due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2012.,,,
70,NW 5-9-25,988.2 to 989.0,4052,Vegetation - Weeds,"Moderate density of foxtail barley, green foxtail, Canada fleabane and barnyard grass observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2012.,,,
70,NE 5-9-25,989.5,4052.01,Vegetation - Rare Plants,No plants were observed at or near the original population. Much of the area was under 0.5 m of water.,No plants observed. Site flooded from pipeline to ditches.,--,Unresolved,Monitor in 2012.,,,
70,NW 4-9-25,989.8 to 990.6,4053,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2012.,,,
70,NE 4-9-25,990.6 to 991.4,4054,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,Unresolved,Monitor in 2012.,,,
70,NW 2-9-25,993.1,4056,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,,
70,NE 2-9-25,993.8 to 994.6,4057,Vegetation - Weeds,"Moderate density of common knotweed, flixweed, false ragweed, spear-leaved goosefoot, foxtail barley and green foxtail observed on construction right-of-way during ground reconnaissance.","Moderate density of pineappleweed, sweet clover, creeping thistle, foxtail barley and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,
70,NE 2-9-25,993.8 to 994.6,4057,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Course fragments repaired in 2010.,Resolved,None.,,,
70,NE 2-9-25,993.8 to 994.6,4057,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
70,NW 1-9-25,994.6 to 995.5,4058,Vegetation - Weeds,"Moderate density of common plantain, green smartweed, common knotweed, foxtail barley and green foxtail observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
70,NE 1-9-25,995.5 to 996.4,4058.01,Vegetation - Weeds,"Moderate density of common plantain, green smartweed, common knotweed, foxtail barley and green foxtail observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
70,NE 1-9-25,996.35,4058.01,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
70,NW 6-9-24,996.4 to 997.3,4059,Vegetation - Weeds,"Moderate density of kochia, green foxtail, lamb’s-quarters and wild buckwheat observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
71,NW 5-9-24,998.0 to 998.8,4061,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
71,NE 5-9-24,998.8 to 999.6,4061.01,Vegetation - Weeds,"Moderate density of spear-leaved goosefoot, redroot pigweed, green smartweed, Russian thistle, false ragweed, creeping thistle and barnyard grass on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
