Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number(s),Environmental Issue(s),TERA Environmental Consultants Observation(s) in 2010,TERA Environmental Consultants Observation(s) in 2011,TERA Environmental Consultants Observation(s) in 2012,TERA Environmental Consultants Observation(s) in 2013,"Repairs to Date (2010, 2011, 2012, 2013)",Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
6,NW 25-47-18,78.8 to 79.0,EL4-0157.00,Vegetation - Weeds,"High density of foxtail barley, perennial sow-thistle, lamb's-quarters, Canada thistle and scentless chamomile observed on construction right-of-way during ground reconnaissance.","Moderate density of foxtail barley, perennial sow-thistle and narrow-leaved hawk’s-beard observed on construction right-of-way during ground reconnaissance.",Weed density and composition equal on and off construction right-of-way.,No weed issues observed.,"Weeds sprayed, baled and disposed in July 2012.",Resolved,<s>None.</s>,,,KINGMAN LOOP
6,SW 25-47-18,79.0,EL4-0158.00,Vegetation - Weeds,"High density of foxtail barley, perennial sow-thistle, lamb's-quarters, Canada thistle and scentless chamomile on construction right-of-way.",High density of foxtail barley and Canada thistle observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way.,No weed issues observed.,"Weeds sprayed, baled and disposed in July 2012.",Resolved,<s>None.</s>,,,KINGMAN LOOP
7,NE 19-47-17,82.3,EL4-0162.00,Vegetation - Weeds,--,--,--,Single patch of scentless chamomile observed near KP 82.3.,2Scentless chamomile hand-picked in August 2012. 013: Follow-up hand-picking and chemical control of scentless chamomile completed where required.,Unresolved,"Control scentless chamomile, if warranted and monitor in 2014.",,,KINGMAN LOOP
7,NW 16-47-17,84.4 to 85.3,EL4-0167.00,Vegetation - Crop Growth,Reduced crop growth in low-lying areas throughout quarter observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Construction right-of-way recently cleared possibly due to an integrity dig. No crop present. Crop growth could not be assessed.,No crop growth issues observed.,--,Resolved,None.,,,KINGMAN LOOP
7,NW 16-47-17,84.4 to 85.3,EL4-0167.00,Vegetation - Weeds,--,Moderate density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,"Construction right-of-way recently cleared. Moderate densities of lamb’s-quarters, Canada thistle, scentless chamomile and wild buckwheat observed on construction right-of-way during ground reconnaissance.",Field now seeded with a crop. No weed issues observed.,Weeds sprayed by landowner in summer 2011. Weeds hand-picked/sprayed in August 2012.,Resolved,None.,,,KINGMAN LOOP
7,NW 11-47-17,88.3,EL4-0173.00,Soils - Subsidence,--,--,--,Issue successfully repaired. No soil or crop issues observed.,Repaired in 2012.,Resolved,None.,,,KINGMAN LOOP
7,NE 1-47-17,91.9,EL4-0179.00,Vegetation - Weeds,--,--,--,No weed issues observed.,Weeds hand-picked and sprayed in July 2012.,Resolved,None.,,,KINGMAN LOOP
7,NE 31-46-16,94.0,EL4-0184.00,Vegetation - Weeds,Moderate density of perennial sow-thistle on construction right-of-way.,Moderate density of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Access to property not granted.,No weed issues observed.,--,Resolved,None.,,,KINGMAN LOOP
7,SW 32-46-16,95.4,EL4-0186.00,Soils - Subsidence,--,--,Minor trench subsidence (approximately 30 m long) observed on construction right-of-way during ground reconnaissance.,Issue successfully repaired.,Subsidence repaired in summer 2012.,Resolved,None.,,,KINGMAN LOOP
9 and 10,NW 14-45-14,124.1,EL4-0236.00,Vegetation - Weeds,"Moderate density of Canada thistle, perennial sow-thistle and stinkweed on construction right-of-way.","Moderate density of Canada thistle, perennial sow-thistle and stinkweed observed on construction right-of-way during ground reconnaissance.","Moderate density of scentless chamomile, Canada thistle, perennial sow-thistle and stinkweed observed along fence on construction right-of-way.",No weed issues observed.,Weeds hand-picked and sprayed in August 2012.,Resolved,<s>None.</s>,,,STROME LOOP
10,SW 14-45-14,124.1,EL4-0237.00,Vegetation - Weeds,"Moderate to high density of scentless chamomile, narrow-leaved hawk's-beard, lamb's-quarters, wild buckwheat and foxtail barley on construction right-of-way.",Moderate density of narrow-leaved hawk’s-beard and scentless chamomile observed on construction right-of-way during ground reconnaissance.,"Moderate density of scentless chamomile, Canada thistle, perennial sow-thistle and stinkweed observed along fence on construction right-of-way.",No weed issues observed.,Weeds hand-picked and sprayed in August 2012.,Resolved,<s>None.</s>,,,STROME LOOP
10,SW 35-44-13,135.21,EL4-0255.00,Soils - Compaction,--,--,Severe rutting (10 m x 0.50 m x 0.30 m) observed on construction right-of-way during ground reconnaissance.,No soil issues observed. Previously observed rutting was confirmed to have been caused by landowner.,Rutting repaired in 2012.,Resolved,None.,,,STROME LOOP
11,NE 24-44-13,138.46,EL4-0261.00,Vegetation - Weeds,--,--,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weed species and density equal on and off construction right-of-way. Weeds being controlled as part of the Mainline Weed Management Program.,2Weeds spot-sprayed in August 2012. 013: Weeds spot-sprayed.,Resolved,None.,,,STROME LOOP
11,SW 19-44-12,139.35 to 139.5,EL4-0263.00,Vegetation - Weeds,--,--,High densities of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weed species and density equal on and off construction right-of-way. Weeds being controlled as part of the Mainline Weed Management Program.,2Weeds spot-sprayed in August 2012. 013: Weeds spot-sprayed.,Resolved,None.,,,STROME LOOP
11,SE 19-44-12,141.0,EL4-0264.00,Vegetation – Weeds,--,--,--,Site is now occupied by an integrity dig. Canada thistle density equal to pre-construction density.,Weeds sprayed in July 2012.,Resolved,None.,,,STROME LOOP
