Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
13,NE 18-42-9,HT 1.56,327.04,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
13,NW 17-42-9,HT 1.92 to HT 1.98,327.05,Wetland Class Overall: IV Wetland Class on construction right-of-way: III 2008 Health: healthy (93%),Health: healthy with problems (77%). Weeds: none observed Riparian: woody vegetation removed. Bare ground on construction right-of-way. Heavily disturbed by cattle.,Health: Healthy with Problems (73%) Weeds: none observed Disturbance and weedy species observed along construction right-of-way Bare ground due to cattle grazing and pugging,Reseeded in summer 2011.,Unresolved,Monitor in 2011.,,W4M,
13,NW 17-42-9,HT 2.0 to HT 2.1,327.05,Vegetation - Rare Plant,12 plants found in 5 locations.,"150-200 plants in seed in a 65 m (east/west) by 34 m (north/south) area, north of wetland and south of pipeline.  No new threats to population.",--,Resolved,None.,,W4M,
13,NE 16-42-9,HT 4.0 to 179.9,327.08 332,Vegetation – Weeds,"Moderate density of scentless chamomile, narrow-leaved hawk's-beard and shepherd's-purse on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
13,NE 16-42-9,HT 4.0 to 179.9,327.08 332,Vegetation - Establishment,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010 and 2011.,Resolved,None.,,W4M,
13,NE 16-42-9,179.9,332,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
13,SE 15-42-9,180.88 to 180.94,333,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
13,SE 15-42-9,180.9,335,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
13,SW 14-42-9,181.9,336,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
14,NE 11-42-9,182.9,338,Vegetation - Rare Plant,Plant was not found.,Confirmed the population is located off the construction construction right-of-way.,--,Resolved,None.,,W4M,
14,NW 6-42-8 to  SE 33-41-8,185.6 to 191.2,342 to 350,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Resolved,None.,,W4M,
14,NW 33-41-8,189.4,348,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,"Monitor in 2012 and repair, if warranted.",,W4M,
15,SW 26-41-8  to  SE 26-41-8,194.0,356 to 357,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
15,NW 24-41-8,195.0,359,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
15,SE 24-41-8,196.7 to 196.85,361,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in fall 2011.,Unresolved,Monitor grass growth in 2012.,,W4M,
15,SW 19-41-7 to  NW 17-41-7,196.85 to 199.6,362 363 364 365,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in fall 2011.,Unresolved,Monitor grass growth in 2012.,,W4M,
15,SE 19-41-7,198.1,363,Vegetation - Weeds,--,Moderate density of creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
15,SE 17-41-7,200.40 to 200.52,367,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: healthy with problems (63%),Health: unhealthy (58%). Weeds: creeping thistle. Landowner has cultivated portion of construction right-of-way. Undesirable species dominant.,Health: Healthy with Problems (63%),Reseeded in summer 2011.,Resolved,None.,,W4M,
15,SE 16-41-7,201.9,369,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
15,NE 9-41-7,202.3,370,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
15,SE 10-41-7,203.86 to 203.9,373,Wetland Class Overall: IV Wetland Class on construction right-of-way: II 2008 Health: healthy (82%),Health: healthy with problems (63%).  Undesirable species (foxtail barley) dominant on construction right-of-way. Riparian: woody vegetation removed. Bare ground on construction right-of-way. Grade does not match preconstruction profile.,"Health: Healthy with Problems (69%) Despite the decrease in health status, this wetland is determined to be Resolved due to no-project related disturbances (i.e., landowner seeding)",--,Resolved,None.,,W4M,
15,SW 6-41-6,207.8,380,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
15,SE 6-41-6,208.8,381,Vegetation – Weeds,"Moderate density of stinkweed, lamb's-quarters, shepherd's purse and flixweed on construction right-of-way.","Moderate density of lamb’s-quarters, shepherd’s-purse and redroot pigweed observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
15 (cont’d),SE 6-41-6 (cont’d),208.8,381,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
15 (cont’d),SE 6-41-6 (cont’d),208.8 to 209.2,381,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
16,NE 31-40-6,209.2 to 209.24,382,Wetland Class Overall: IV Wetland Class on construction right-of-way: II 2008 Health: healthy (93%),"Health: healthy with problems (72%). Weeds: creeping thistle, sow-thistle; excessively weedy. Undesirable species dominant on construction right-of-way.",Health: Healthy (80%),Reseeded in summer 2011. NEB Inspection of wetland. No weed issues. Wetland restored and functional,Resolved,None.,,W4M,
16,NE 31-40-6,209.3,382,Vegetation – Weeds,High density of Russian pigweed on construction right-of-way.,"Moderate density of lamb’s-quarters, annual sow-thistle, kochia and Russian pigweed observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
16,NW 32-40-6,209.7 to 210.5,383,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
16,SE 32-40-6,211.4,385,Vegetation – Weeds,Moderate density of perennial sow-thistle and creeping thistle on construction right-of-way.,Moderate density of perennial sow-thistle and creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
16,SE 33-40-6,212.5,388,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
16,NW 27-40-6,213.2 to 214.2,389 390,Vegetation – Weeds,"High density of lamb's-quarters, perennial sow-thistle, foxtail barley and flixweed on construction right-of-way.",High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Unresolved,Monitor in 2012.,,W4M,
16,NW 27-40-6,213.9,390,Soils – Water Erosion Water Quality and Quantity Ribstone Creek,Poor vegetation establishment on banks and approach to watercourse.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
16,S 1/2 19-40-5,218.8 to 220.4,399 400,Vegetation - Establishment,--,Moderate vegetation establishment observed on construction right-of-way by Environmental Inspector.,Reseeded in summer 2011.,Unresolved,Monitor grass growth in 2012.,,W4M,
16,NE 18-40-5,220.43 to 220.49,401,Wetland Class Overall: V Wetland Class on construction right-of-way: IV 2008 Health: healthy (88%),"Health: healthy with problems (60%). Weeds: creeping thistle, sow-thistle. Heavily disturbed by cattle; bare ground on construction right-of-way. Spoil pile exists in wetland causing water ponding.",Health: Healthy (84%),Reseeded in summer 2011.,Resolved,None.,,W4M,
16,N 1/2 17-40-5,220.5 to 222.0,402 403,Vegetation - Establishment,--,Moderate vegetation establishment observed on construction right-of-way by Environmental Inspector.,Reseeded in summer 2011.,Unresolved,Monitor grass growth in 2012.,,W4M,
17,SE 10-40-5,226.1,410,Vegetation – Weeds,Moderate density of kochia and Russian thistle on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
17,SW 6-40-4,230.1 to 230.4,418,Vegetation – Weeds,Moderate density of Russian pigweed and kochia observed on construction right-of-way during ground reconnaissance.,Moderate density of absinthe and creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
17,15-31-39-4,231.0,420,Soils - Compaction,Increased bulk density identified by Mentiga Pedology Consultants Ltd.,Moderate compaction observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2012.",,W4M,
17,NW to  SE 32-39-4,231.9 to 233.8,421  422  423,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
17,NW to  SE 32-39-4,231.9 to 233.8,421  422  423,Vegetation – Weeds,--,High density of downy brome observed on construction right-of-way during ground reconnaissance.,Weeds baled and hauled away in summer 2011.,Unresolved,Monitor in 2012.,,W4M,
17,NW 32-39-4,231.95,421,Vegetation – Weeds,High density of creeping thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,High density of downy brome observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
17,NW 28-39-4,233.9,425,Vegetation – Weeds,Moderate density of creeping thistle and lamb's-quarters on construction right-of-way.,Moderate density of creeping thistle and annual sow-thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
18,NE 23-39-4,238.4 to 238.85,433,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
18,NE 23-39-4,238.72 to 238.80,433,Wetland Class Overall: III Wetland Class on construction right-of-way: II 2008 Health: no baseline assessment completed,"Health: healthy with problems (60%). Weeds: creeping thistle, sow-thistle; excessively weedy. Bare ground on construction right-of-way. Approx. 10 cm crown immediately south of wetland.","Health: Healthy (81%) No baseline assessment was completed, however, this wetland is determined to be Resolved because the post-construction health ranking was in the optimal Healthy category",--,Resolved,None.,,W4M,
18,NE 23-39-4,238.9,434,Vegetation – Weeds,"Moderate density of kochia, flixweed, creeping thistle, perennial sow-thistle and stinkweed on construction right-of-way.","Moderate density of creeping thistle, perennial sow-thistle and annual sow-thistle observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
18,SW 24-39-4,239.3 to 240.3,435,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
18,SW 24-39-4,239.4,435,Vegetation – Crop Growth,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor crop growth in 2012.,,W4M,
18,SW 24-39-4,240.0,435,Vegetation – Weeds,--,"High density of foxtail barley, round-leaved mallow, shepherd’s-purse, annual sow-thistle and stinkweed observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
18,NW 18-39-3,241.2 to 242.1,438,Vegetation - Weeds,Moderate density of kochia and spear-leaved goosefoot on construction right-of-way.,"Moderate density of lamb’s-quarters, shepherd’s-purse and kochia observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
18,SE 18-39-3,242.2 to 243.05,440,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
18,SE 18-39-3,242.95,440,Vegetation – Weeds,--,Moderate density of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
18,SW 17-39-3,243.05 to 243.85,441,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
18,NE 8-39-3,243.95 to 244.85,444,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
18,NW 2-39-3,248.7,451,Soils - Compaction,Area of severe compaction and reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
18,NW 2-39-3,248.6 to 248.8,451,Vegetation - Weeds,"High density of stinkweed, narrow-leaved hawk's-beard and spear-leaved goosefoot observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
18,SW 2-39-3,248.8 to 249.6,452,Vegetation - Weeds,"High density of foxtail barley, kochia and spear-leaved goosefoot observed on construction right-of-way during ground reconnaissance.",High density of kochia and narrow-leaved hawk’s-beard observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
18,SW 2-39-3,249.2 to 249.4,452,Soils - Problem Lower Subsoil (contrasting soil textures),Moderate admixing and reduced crop growth on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
18,SE 2-39-3,249.6 to 249.85,453,Soils - Problem Lower Subsoil (contrasting soil textures),Minor admixing and reduced crop growth on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
18 (cont’d),SE 2-39-3 (cont’d),249.85 to 250.3,453,Vegetation - Weeds,"High density of lamb's-quarters, wild oats, flixweed and wild buckwheat observed on construction right-of-way during ground reconnaissance.","Moderate to high density of flixweed, foxtail barley and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
19,SW 31-38-2,253.4,459,Vegetation – Weeds,"Moderate density of lamb's-quarters, kochia and wild buckwheat on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
19,SW 28-38-2,256.3,466,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
19,NE 21-38-2,257.81 to 257.93,469,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: healthy with problems (67%),Health: unhealthy (52%). Weeds: sow-thistle. Landowner has cultivated to edge. Bare ground on construction right-of-way.,Health: N/A Wetland is cultivated through,--,Resolved,None.,,W4M,
19,SE 22-38-2,259.85 to 260.03,472,Wetland Class Overall: III Wetland Class on construction right-of-way: II 2008 Health: healthy with problems (79%),"Health: unhealthy (58%). Weeds: creeping thistle, sow-thistle. Riparian: willows cleared, dominated by non-wetland vegetation.",Health: Healthy with Problems (72%),Reseeded in summer 2011.,Resolved,None.,,W4M,
19,SW 23-38-2,260.0,473,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
19,SW 23-38-2,260.3,473,Vegetation – Weeds,"High density of flixweed, kochia, foxtail barley, wild buckwheat and lamb's-quarters on construction right-of-way.",Moderate density of kochia and flixweed observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
19,NE 7-38-1,264.8 to 265.1,482,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
20,NE 5-38-1,267.16 to 267.36,486,Wetland Class Overall: V Wetland Class on construction right-of-way: III 2008 Health: healthy with problems (79%),Health: unhealthy (53%). Not functioning as wetland. Landowner has cultivated through wetland.,Health: N/A Wetland is cultivated through,--,Resolved,None.,,W4M,
20,NW 35-37-1,271.2 to 272.0,493,Vegetation - Establishment,Issue reported by construction contractor.,Moderate vegetation establishment observed along construction right-of-way during ground reconnaissance.,Reseeded in fall 2011.,Unresolved,Monitor grass growth in 2012.,,W4M,
20,SE 35-37-1,272.2,496,ESoils – Water Erosion Water Quality and Quantity Fish and Fish Habitat yehill Creek,Poor vegetation establishment on banks and approach to watercourse.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Resolved,None.,,W4M,
20,SE 35-37-1,272.2,496,EVegetation – Weeds yehill Creek,--,High density of kochia observed on construction right-of-way on west approach during ground reconnaissance.,Weeds sprayed in summer 2011.,Unresolved,Monitor in 2012.,,W4M,
20,SW 30-37-28,275.2,502,Soils - Trench Compaction,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
20,SW 30-37-28,275.35,502,Soils - Trench Compaction,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
20,NE 19-37-28,276.6 to 277.0,503,Soils - Trench Compaction,Moderate compaction and poor vegetation establishment on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
20,SE 20-37-28,278.4 to 278.8,507,Vegetation - Weeds,"Moderate density of Russian thistle, gumweed and kochia observed on construction right-of-way during ground reconnaissance.",Moderate density of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,W3M,
20,SE 20-37-28,278.8 to 278.9,507,Wetland Class Overall: IV Wetland Class on construction right-of-way: II 2008 Health: no baseline assessment completed,Health: unhealthy (33%). Bare ground on construction right-of-way. Undesirable species dominant on construction right-of-way. Poor wildlife habitat.,"Health: Unhealthy (31%) Despite the decrease in health status, this wetland is determined to be Resolved due to no-project related disturbances (i.e., cattle grazing and trampling)",--,Resolved,None.,,W3M,
20,SW 21-37-28,279.2,508,Soils - Trench Compaction,Moderate compaction and reduced crop growth on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Compaction repaired by landowner in 2010.,Resolved,None.,,W3M,
20,SW 21-37-28,279.6,508,Soils - Trench Compaction,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,SE 21-37-28,279.7 to 280.0,509,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W3M,
21,NE 16-37-28,280.0 to 280.1,510,Soils - Subsidence,Issue reported by construction contractor.,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,W3M,
21,NE 16-37-28,280.1 to 280.6,510,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,SE 15-37-28,281.8 to 282.2,513,Soils - Trench Compaction,Severe subsidence on construction right-of-way.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Repair subsidence and monitor in 2012.,,W3M,
21,SW 14-37-28,282.6,514,Soils - Erosion,Rill erosion on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,SW 14-37-28,282.6 to 283.2,514,Soils - Trench Compaction,Severe subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W3M,
21,SW 14-37-28,282.6 to 283.2,514,Vegetation – Weeds,--,Moderate density of creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,W3M,
21,SW 14-37-28,283.0,514,Soils - Erosion,Rill erosion on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,NW 11-37-28,283.2 to 283.5,514 515,Soils - Trench Compaction,Moderate subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,NE 11-37-28,283.8,516,Soils - Erosion,Minor erosion on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,NE 11-37-28,284.0,516,Drainage swale and coulee,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Silt fence removed in summer 2011.,Resolved,None.,,W3M,
21,NE 11-37-28,284.0,516,Vegetation - Weeds,"Moderate density of perennial sow-thistle, kochia, Russian pigweed and clover species observed on construction right-of-way during ground reconnaissance.","Moderate density of kochia, lamb’s-quarters and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,W3M,
21,NE 11-37-28,284.2 to 284.5,516,Soils - Trench Compaction,Moderate subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,SE 12-37-28,285.7 to 286.0,519,Soils - Trench Compaction,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,SW 7-37-27,286.4 to 286.5,520,Soils - Uneven Topsoil,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Uneven topsoil repaired by landowner in 2010.,Resolved,None.,,W3M,
21,NW 6-37-27,287.0 to 287.3,521,Soils - Trench Compaction,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,NW 6-37-27,287.3,521,Soils - Trench Compaction,Severe compaction and reduced crop growth on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Compaction repaired by landowner in 2010.,Resolved,None.,,W3M,
21 (cont’d),NW 6-37-27 (cont’d),287.3,521,Soils - Admixing,Moderate admixing and reduced crop growth observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,SE 6-37-27,288.0 to 288.3,523,Vegetation - Weeds,"Moderate density of lamb's-quarters, flixweed, absinthe, stinkweed and round-leaved mallow observed on construction right-of-way during ground reconnaissance.","Moderate density of lamb's-quarters, absinthe, kochia and foxtail barley observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,W3M,
21,SW 5-37-27,288.3 to 288.9,524 524.01,Vegetation - Weeds,"High density of foxtail barley, kochia, flixweed, stinkweed and round-leaved mallow observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,SW 5-37-27,288.5,524 524.01,UWater Quality and Quantity Soils – Erosion nnamed drainage,Poor vegetation establishment within drainage observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment within drainage observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor grass growth in 2012.,,W3M,
21,SW 5-37-27,288.7,524 524.01,Soils - Trench Compaction,Severe compaction and reduced crop growth on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Compaction repaired by landowner in 2010.,Resolved,None.,,W3M,
21,SE 5-37-27,289.3 to 289.5,525,Soils - Trench Compaction,Moderate compaction and reduced crop growth observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Compaction repaired by landowner in 2010.,Resolved,None.,,W3M,
21,NE 32-36-27,289.6 to 289.8,525,Soils - Trench Compaction,Moderate compaction and reduced crop growth observed on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,NE 32-36-27,289.8,525,Soils - Erosion,Rill erosion on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,NW 33-36-27,290.25,527,Soils - Compaction,Moderate compaction and reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Compaction repaired by landowner in 2010.,Resolved,None.,,W3M,
21,NW 33-36-27,290.25,527,Soils - Admixing,Minor admixing and reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,NW 33-36-27,290.9,527,Vegetation - Establishment,No vegetation establishment in low wet area observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,SE 33-36-27,291.7,529,USoils – Compaction nnamed drainage,Severe compaction on west approach to drainage observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,SE 33-36-27,291.7,529,UVegetation - Weeds nnamed drainage,"Moderate density of kochia, foxtail barley and perennial sow-thistle on construction right-of-way.","Moderate density of kochia, creeping thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,W3M,
21,SW 34-36-27,292.0 to 292.5,530,Soils - Trench Compaction,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Compaction repaired by landowner in 2010.,Resolved,None.,,W3M,
21,SW 34-36-27,293.0,530,Vegetation - Weeds,"High density of wild buckwheat, wild oats and spear-leaved goosefoot observed on construction right-of-way during ground reconnaissance.","Moderate density of wild buckwheat, kochia, wild oats and spear-leaved goosefoot observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,W3M,
21,SE 34-36-27,293.0 to 293.15,532,Vegetation - Weeds,"High density of creeping thistle, wild oats and narrow-leaved hawk's-beard observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
21,SE 34-36-27,293.0 to 293.2,532,Soils - Trench Compaction,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Compaction repaired by landowner in 2010.,Resolved,None.,,W3M,
22,NW 26-36-27,294.1 to 294.7,533,Soils - Trench Compaction,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Compaction repaired by landowner in 2010.,Resolved,None.,,W3M,
22,SE 26-36-27,"294.7 to 294.8, 295.6",535,Soils - Trench Compaction,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Compaction repaired by landowner in 2010.,Resolved,None.,,W3M,
22,SE 26-36-27,294.75 to 294.8,535,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2012.",,W3M,
22,SE 26-36-27,294.75 to 294.8,535,Vegetation – Crop Growth,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor crop growth in 2012.,,W3M,
22,NW 6-36-27,294.52 to 294.60,533,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: healthy (82%),"Health: healthy with problems (65%). Weeds: perennial sow-thistle, flixweed. Undesirable species dominant on construction right-of-way. Should be classed as Class II.",Health: Healthy (80%),--,Resolved,None.,,W3M,
22,SW 19-36-26,298.4,540,Soils - Trench Compaction,Moderate subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
