Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
79,NW 17-6-12,1120.7,4217,Soils - Erosion,Issue reported by construction contractor.,Gully erosion observed on the construction right-of-way during ground reconnaissance.,Erosion repaired in 2010.,Unresolved,Repair erosion and monitor in 2012.,,WPM,
79,NE 17-6-12,1121.6 to 1121.8,4217.01,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Resolved,None.,,WPM,
79,SE 17-6-12,1121.8 to 1122.4,4218,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
79,SW 16-6-12,1122.5,4219,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
79,SE 16-6-12,1123.4 to 1123.7,4220,Soils - Admixing,Minor admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79,NE 9-6-12,1123.8 to 1124.2,4221,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Drainage repaired in 2010.,Resolved,None.,,WPM,
79,NW 10-6-12,1124.25 to 1124.5,4222,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79,NW 10-6-12,1124.35 to 1124.6,4222,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79,NW 10-6-12,1124.35 to 1124.6,4222,Soils - Admixing,Moderate admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79,NW 10-6-12,1124.6 to 1125.0,4222,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Resolved,None.,,WPM,
79,NW 10-6-12,1124.6 to 1125.0,4222,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79,NW 10-6-12,1124.6 to 1125.0,4222,Vegetation - Weeds,--,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in fall 2011.,Unresolved,Monitor in 2012.,,WPM,
79,NE 10-6-12,1125.3 to 1125.4,4222.01,GTopography Soils - Water Erosion rass waterway,Erosion rills and gullies forming down slopes of undulating topography and in between straw logs.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79,NE 10-6-12,1125.3 to 1125.4,4222.01,Soils - Admixing,Moderate to severe admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79 (cont’d),NE 10-6-12 (cont’d),1125.3 to 1125.4 (cont’d),4222.01 (cont’d),Soils - Contouring,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79,SE 10-6-12,1125.4 to 1126.2,4222.02,Vegetation - Establishment  Moderate vegetation establishment,observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Unresolved,Monitor grass growth in 2012.,,WPM,
79,SE 10-6-12,1125.4 to 1125.7,4222.02,GTopography Soils - Water Erosion rass waterway,Erosion rills and gullies forming down slopes of undulating topography and in between straw logs.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010.,Resolved,None.,,WPM,
79,SE 10-6-12,1125.4 to 1125.7,4222.02,Soils - Admixing,Moderate to severe admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79,SE 10-6-12,1125.4 to 1125.7,4222.02,Landscape - Coarse Fragments,Increased stoniness observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79,SE 10-6-12,1125.5 to 1126.2,4222.02,Soils - Admixing,Moderate to severe admixing on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79,SE 10-6-12,1125.5 to 1126.2,4222.02,Vegetation - Weeds,"Moderate density of green foxtail, redroot pigweed and spear-leaved goosefoot on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79,SW 11-6-12,1126.2 to 1126.9,4223,Vegetation - Weeds,"Moderate density of green foxtail, tumbling mustard, white cockle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,Reseeded by landowner in 2010.,Resolved,None.,,WPM,
79,SW 11-6-12,1126.2 to 1126.9,4223,Soils - Erosion,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded by landowner in 2010.,Resolved,None.,,WPM,
