,pdfId,pdfName,pdfURL,pdfSubmitter,ApplicationTitle,ApplicationTitleShort,ApplicationLink
115,2404629,NGTL Kearl Extension and MS_Second PCRM Report - A3T2U7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2404629,NOVA Gas Transmission Ltd.,2010-03-16 – Application for the Kearl Extension and Sales Meter Station,Application for the Kearl Extension and Sales Meter Station,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/609725
116,2404644,2014-01-28 Keystone PCEM Year 3  - A3T3I4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2404644,TransCanada Keystone Pipeline GP Ltd.,2007-11-23 - Application for the Cushing Expansion (OH-1-2008),Application for the Cushing Expansion ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/486602
117,2404648,Alberta Clipper Project PCEM Report Year 4 (2013) - A3T3K4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2404648,Enbridge Pipelines Inc.,2007-05-30 - Application for the Alberta Clipper Expansion Project (OH-4-2007),Application for the Alberta Clipper Expansion Project ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/465178
118,2407660,2014-01-28 Keystone PCEM Year 4  - A3T3H0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2407660,TransCanada Keystone Pipeline GP Ltd.,2006-12-12 - Application for the Keystone Pipeline (OH-1-2007),Application for the Keystone Pipeline ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/446070
119,2407764,Line 4 Extension Project PCEM Report Year 5 (2013) - A3T3S8,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2407764,Enbridge Pipelines Inc.,2007-06-28 - Application for the Line 4 Extension Project (OH-5-2007),Application for the Line 4 Extension Project ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/469094
120,2408156,Southern Lights Project PCEM Report Year 5 (2013) - A3T3R4,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2408156,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP and Enbridge Pipelines Inc.,"2007-03-09 - Application for Line 13 Transfer, Line 13 Reversal and Capacity Replacement for the Southern Lights Project (OH-3-2007)","Application for Line 13 Transfer, Line 13 Reversal and Capacity Replacement for the Southern Lights Project ",https://apps.cer-rec.gc.ca/REGDOCS/Item/View/456607
121,2411043,Stewart Lake Pipeline PCEM Report - A3T5K9,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411043,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (Westcoast)",2010-11-30 - Application for the Transmission North Expansion,Application for the Transmission North Expansion,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/656096
122,2411350,Appendix A - Cutbank River First Year PCMP - A3T4X8,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411350,NOVA Gas Transmission Ltd.,2011-06-06 - Application for Cutbank - Musreau Area Expansion,Application for Cutbank - Musreau Area Expansion,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/697803
123,2411357,South Maxhamish Loop Post-Construction Environmental Monitoring Report - A3T5E7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411357,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (Westcoast)",2010-02-01 - Application for South Maxhamish Loop Project,Application for South Maxhamish Loop Project,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/593411
124,2411359,NGTL Groundbirch Mainline Saturn Section Condition 5 PCMP Report - A3T5F7,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411359,NOVA Gas Transmission Ltd.,2010-12-09  - Application for Groundbirch Mainline (Saturn Section),Application for Groundbirch Mainline ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/657473
125,2411466,Appendix B - Musreau Lake First Year PCMP - A3T4X9,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2411466,NOVA Gas Transmission Ltd.,2011-06-06 - Application for Cutbank - Musreau Area Expansion,Application for Cutbank - Musreau Area Expansion,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/697803
