,tableId,rowIndex,vec_pri,vec_sec,status_bin,status,status_txt,issue_pri,issue_sec,company,monitoring_year,consultantName,application_title_short,word2vec_vec,soil,vegetation,water,fish,wildlife,species,air,heritage,physical,wetlands,acoustic,navigation,VECassigned
13,0c200808-9563-467f-b74f-2d4b73c53fc4,30,Vegetation - weeds,"Density and distribution of vegetation and weed species were equal on and off the ROW between KP 14.660 to KP 15.060.  There were some areas of scentless chamomile observed surrounding the newly built garage (KP 14.700 to KP 14.860) and do not appear to be related to ETH reclamation. Hay was cut, and therefor weeds were not observed between KP 15.070 and KP 15.397. Weed observed on the ROW between KP 15.397 to KP 15.469. Moderate densities of white cockle and perennial sow thistle were observed on ROW.",U,Unresolved,Control weeds between KP 15.397 to KP 15.469 and monitor in 2019.  Monitor for weeds in 2019 between KP 15.070 and KP 15.397 where hay was cut.,Vegetation - weeds,"Density and distribution of vegetation and weed species were equal on and off the ROW between KP 14.660 to KP 15.060.  There were some areas of scentless chamomile observed surrounding the newly built garage (KP 14.700 to KP 14.860) and do not appear to be related to ETH reclamation. Hay was cut, and therefor weeds were not observed between KP 15.070 and KP 15.397. Weed observed on the ROW between KP 15.397 to KP 15.469. Moderate densities of white cockle and perennial sow thistle were observed on ROW.",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
14,0c200808-9563-467f-b74f-2d4b73c53fc4,31,Vegetation - establishment,Hay was cut at the time of assessment. Unable to determine vegetation establishment success.,U,Unresolved,Assess vegetation establishment in 2019.,Vegetation - establishment,Hay was cut at the time of assessment. Unable to determine vegetation establishment success.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
15,0c200808-9563-467f-b74f-2d4b73c53fc4,32,Vegetation – establishment and weeds,"Vegetation has established well on ROW.  Decreased establishment in swale at KP 15.966 and KP 16.020. Weed issue was observed in the swale at KP 16.020. White cockle, common tansy, stinkweed and lamb’s quarters were observed.",U,Unresolved,Control weeds and monitor vegetation establishment in 2019.,Vegetation – establishment and weeds,"Vegetation has established well on ROW.  Decreased establishment in swale at KP 15.966 and KP 16.020. Weed issue was observed in the swale at KP 16.020. White cockle, common tansy, stinkweed and lamb’s quarters were observed.",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,3,0,0,0,0,0,0,0,0,0,0,vegetation
16,0c200808-9563-467f-b74f-2d4b73c53fc4,33,Landscape - contouring,Contouring issue appeared to be repaired.,R,Resolved,None.,Landscape - contouring,Contouring issue appeared to be repaired.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,physical,0,0,0,0,0,0,0,0,2,0,0,0,physical
17,0c200808-9563-467f-b74f-2d4b73c53fc4,34,Landscape - subsidence,Contouring issue was repaired.  Vegetation has established well and is on a positive trajectory.,R,Resolved,None.,Landscape - subsidence,Contouring issue was repaired.  Vegetation has established well and is on a positive trajectory.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,physical,0,0,0,0,0,0,0,0,2,0,0,0,physical
18,0c200808-9563-467f-b74f-2d4b73c53fc4,39,Vegetation - weeds,Weeds could not be thoroughly assessed due to cut hay. White cockle and Canada thistle were observed at the fence both on and off ROW. The issue was resolved in July 2017. It was unclear if the weed issue was reported to have returned in 2018.,U,Unresolved,-Monitor in 2019 if warranted.,Vegetation - weeds,Weeds could not be thoroughly assessed due to cut hay. White cockle and Canada thistle were observed at the fence both on and off ROW. The issue was resolved in July 2017. It was unclear if the weed issue was reported to have returned in 2018.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
19,0c200808-9563-467f-b74f-2d4b73c53fc4,44,Vegetation - establishment,Vegetation has established well on the ROW. Vegetation within wetland area is on a positive trajectory.,R,Resolved,None.,Vegetation - establishment,Vegetation has established well on the ROW. Vegetation within wetland area is on a positive trajectory.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
20,0c200808-9563-467f-b74f-2d4b73c53fc4,46,Vegetation – weed issue observed by Enbridge,"Wetland vegetation has established well. High densities of noxious weeds accumulating on the berm west of the wetland, however off ROW.",R,Resolved,None.,Vegetation – weed issue observed by Enbridge,"Wetland vegetation has established well. High densities of noxious weeds accumulating on the berm west of the wetland, however off ROW.",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
21,0c200808-9563-467f-b74f-2d4b73c53fc4,47,Vegetation – crop growth,Vegetation has established well on the ROW.,R,Resolved,None.,Vegetation – crop growth,Vegetation has established well on the ROW.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,1,2,0,0,0,0,0,0,1,0,0,0,vegetation
22,0c200808-9563-467f-b74f-2d4b73c53fc4,48,Vegetation – weeds,"Weed issue observed on the ROW. Scentless chamomile, white cockle, Canada thistle, perennial sow thistle, lamb’s quarters and narrow-leaved hawk’s beard were observed at higher densities on ROW.",U,Unresolved,Control weeds and monitor in 2019.,Vegetation – weeds,"Weed issue observed on the ROW. Scentless chamomile, white cockle, Canada thistle, perennial sow thistle, lamb’s quarters and narrow-leaved hawk’s beard were observed at higher densities on ROW.",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
